Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
feature.             | 70.87      | 85.66      | MDDDRP+Cambria
The                  | 110.93     | 85.66      | MDDDRP+Cambria
median               | 132.18     | 85.66      | MDDDRP+Cambria
plane                | 170.91     | 85.66      | MDDDRP+Cambria
is                   | 200.10     | 85.66      | MDDDRP+Cambria
fixed                | 211.12     | 85.66      | MDDDRP+Cambria
by                   | 238.14     | 85.66      | MDDDRP+Cambria
theoretically        | 252.77     | 85.66      | MDDDRP+Cambria
exact                | 316.77     | 85.66      | MDDDRP+Cambria
dimensions           | 345.07     | 85.66      | MDDDRP+Cambria
with                 | 402.84     | 85.66      | MDDDRP+Cambria
respect              | 428.01     | 85.66      | MDDDRP+Cambria
to                   | 466.64     | 85.66      | MDDDRP+Cambria
datums               | 479.45     | 85.66      | MDDDRP+Cambria
A                    | 518.50     | 85.66      | MDDDRP+Cambria
and                  | 528.45     | 85.66      | MDDDRP+Cambria
B.                   | 549.28     | 85.66      | MDDDRP+Cambria
The                  | 70.87      | 97.76      | MDDDRP+Cambria
specification        | 91.45      | 97.76      | MDDDRP+Cambria
applies              | 154.77     | 97.76      | MDDDRP+Cambria
in                   | 190.86     | 97.76      | MDDDRP+Cambria
one                  | 202.60     | 97.76      | MDDDRP+Cambria
direction            | 222.19     | 97.76      | MDDDRP+Cambria
only,                | 268.34     | 97.76      | MDDDRP+Cambria
see                  | 293.05     | 97.76      | MDDDRP+Cambria
Figure               | 311.07     | 97.76      | XELMPT+Cambria
158.                 | 344.78     | 97.76      | XELMPT+Cambria
a                    | 70.87      | 255.00     | XELMPT+Cambria
Datum                | 90.76      | 259.93     | XELMPT+Cambria
A.                   | 121.68     | 259.93     | XELMPT+Cambria
b                    | 70.87      | 269.87     | XELMPT+Cambria
Datum                | 90.76      | 274.80     | XELMPT+Cambria
B.                   | 121.68     | 274.80     | XELMPT+Cambria
Figure               | 176.64     | 306.30     | XELMPT+Cambria-Bold
158                  | 212.58     | 306.30     | XELMPT+Cambria-Bold
—                    | 234.38     | 306.30     | XELMPT+Cambria-Bold
Definition           | 247.80     | 306.30     | XELMPT+Cambria-Bold
of                   | 302.16     | 306.30     | XELMPT+Cambria-Bold
the                  | 314.37     | 306.30     | XELMPT+Cambria-Bold
position             | 333.50     | 306.30     | XELMPT+Cambria-Bold
tolerance            | 377.91     | 306.30     | XELMPT+Cambria-Bold
zone                 | 428.70     | 306.30     | XELMPT+Cambria-Bold
In                   | 70.87      | 336.60     | XELMPT+Cambria
Figure               | 84.66      | 336.60     | XELMPT+Cambria
159                  | 120.14     | 336.60     | XELMPT+Cambria
,                    | 137.29     | 336.60     | MDDDRP+Cambria
for                  | 143.57     | 336.60     | MDDDRP+Cambria
each                 | 161.25     | 336.60     | MDDDRP+Cambria
of                   | 187.06     | 336.60     | MDDDRP+Cambria
the                  | 200.17     | 336.60     | MDDDRP+Cambria
eight                | 219.60     | 336.60     | MDDDRP+Cambria
toleranced           | 247.41     | 336.60     | MDDDRP+Cambria
features             | 302.08     | 336.60     | MDDDRP+Cambria
considered           | 345.53     | 336.60     | MDDDRP+Cambria
independently        | 401.89     | 336.60     | MDDDRP+Cambria
(disregarding        | 474.09     | 336.60     | MDDDRP+Cambria
the                  | 543.02     | 336.60     | MDDDRP+Cambria
angles               | 70.87      | 348.70     | XELMPT+Cambria
between              | 104.85     | 348.70     | XELMPT+Cambria
them),               | 149.42     | 348.70     | XELMPT+Cambria
the                  | 183.28     | 348.70     | XELMPT+Cambria
extracted            | 202.17     | 348.70     | XELMPT+Cambria
median               | 251.58     | 348.70     | XELMPT+Cambria
surface              | 290.70     | 348.70     | XELMPT+Cambria
shall                | 329.28     | 348.70     | XELMPT+Cambria
be                   | 355.38     | 348.70     | XELMPT+Cambria
contained            | 370.31     | 348.70     | XELMPT+Cambria
between              | 421.05     | 348.70     | XELMPT+Cambria
two                  | 465.63     | 348.70     | XELMPT+Cambria
parallel             | 487.58     | 348.70     | XELMPT+Cambria
planes               | 527.53     | 348.70     | XELMPT+Cambria
0,05                 | 70.87      | 360.80     | MDDDRP+Cambria
apart,               | 95.55      | 360.80     | MDDDRP+Cambria
which                | 128.10     | 360.80     | MDDDRP+Cambria
are                  | 161.12     | 360.80     | MDDDRP+Cambria
symmetrically        | 180.99     | 360.80     | MDDDRP+Cambria
disposed             | 254.33     | 360.80     | MDDDRP+Cambria
about                | 301.23     | 360.80     | MDDDRP+Cambria
the                  | 332.45     | 360.80     | MDDDRP+Cambria
theoretically        | 352.11     | 360.80     | MDDDRP+Cambria
exact                | 417.28     | 360.80     | MDDDRP+Cambria
position             | 446.73     | 360.80     | MDDDRP+Cambria
of                   | 489.80     | 360.80     | MDDDRP+Cambria
the                  | 503.14     | 360.80     | MDDDRP+Cambria
median               | 522.80     | 360.80     | MDDDRP+Cambria
plane,               | 70.87      | 372.90     | XELMPT+Cambria
with                 | 101.67     | 372.90     | XELMPT+Cambria
respect              | 126.18     | 372.90     | XELMPT+Cambria
to                   | 164.13     | 372.90     | XELMPT+Cambria
datum                | 176.28     | 372.90     | XELMPT+Cambria
axis                 | 209.77     | 372.90     | XELMPT+Cambria
A.                   | 231.49     | 372.90     | XELMPT+Cambria
a)                   | 179.52     | 536.18     | HBOUZZ+Cambria-Bold
2D                   | 191.85     | 536.18     | HBOUZZ+Cambria-Bold
b)                   | 423.08     | 536.18     | HBOUZZ+Cambria-Bold
3D                   | 435.95     | 536.18     | HBOUZZ+Cambria-Bold
Figure               | 230.95     | 566.00     | XELMPT+Cambria-Bold
159                  | 266.89     | 566.00     | XELMPT+Cambria-Bold
—                    | 288.44     | 566.00     | XELMPT+Cambria-Bold
Position             | 301.86     | 566.00     | XELMPT+Cambria-Bold
indication           | 346.30     | 566.00     | XELMPT+Cambria-Bold
The                  | 70.87      | 596.30     | MDDDRP+Cambria
tolerance            | 91.11      | 596.30     | MDDDRP+Cambria
zone                 | 137.64     | 596.30     | MDDDRP+Cambria
defined              | 161.97     | 596.30     | MDDDRP+Cambria
by                   | 200.00     | 596.30     | MDDDRP+Cambria
the                  | 213.62     | 596.30     | MDDDRP+Cambria
specification        | 231.11     | 596.30     | MDDDRP+Cambria
in                   | 294.09     | 596.30     | MDDDRP+Cambria
Figure               | 305.50     | 596.30     | XELMPT+Cambria
159                  | 339.03     | 596.30     | XELMPT+Cambria
is                   | 358.62     | 596.30     | MDDDRP+Cambria
limited              | 368.63     | 596.30     | MDDDRP+Cambria
by                   | 404.86     | 596.30     | MDDDRP+Cambria
two                  | 418.48     | 596.30     | MDDDRP+Cambria
parallel             | 439.03     | 596.30     | MDDDRP+Cambria
planes               | 477.57     | 596.30     | MDDDRP+Cambria
a                    | 510.56     | 596.30     | MDDDRP+Cambria
distance             | 518.02     | 596.30     | MDDDRP+Cambria
0,05                 | 70.87      | 608.40     | MDDDRP+Cambria
apart                | 93.72      | 608.40     | MDDDRP+Cambria
and                  | 121.87     | 608.40     | MDDDRP+Cambria
symmetrically        | 142.04     | 608.40     | MDDDRP+Cambria
disposed             | 213.55     | 608.40     | MDDDRP+Cambria
around               | 258.62     | 608.40     | MDDDRP+Cambria
datum                | 295.46     | 608.40     | MDDDRP+Cambria
A,                   | 328.94     | 608.40     | MDDDRP+Cambria
see                  | 340.80     | 608.40     | MDDDRP+Cambria
Figure               | 358.83     | 608.40     | XELMPT+Cambria
160.                 | 392.34     | 608.40     | XELMPT+Cambria
NOTE                 | 70.87      | 628.00     | MDDDRP+Cambria
With                 | 119.06     | 628.00     | MDDDRP+Cambria
the                  | 143.24     | 628.00     | MDDDRP+Cambria
SZ                   | 160.08     | 628.00     | MDDDRP+Cambria
specification        | 173.27     | 628.00     | MDDDRP+Cambria
element,             | 231.90     | 628.00     | MDDDRP+Cambria
the                  | 271.57     | 628.00     | MDDDRP+Cambria
angles               | 288.41     | 628.00     | MDDDRP+Cambria
between              | 319.09     | 628.00     | MDDDRP+Cambria
the                  | 359.45     | 628.00     | MDDDRP+Cambria
tolerance            | 376.29     | 628.00     | MDDDRP+Cambria
zones                | 419.80     | 628.00     | MDDDRP+Cambria
for                  | 447.32     | 628.00     | MDDDRP+Cambria
the                  | 462.58     | 628.00     | MDDDRP+Cambria
eight                | 479.42     | 628.00     | MDDDRP+Cambria
slots                | 503.96     | 628.00     | MDDDRP+Cambria
are                  | 527.12     | 628.00     | MDDDRP+Cambria
not                  | 544.15     | 628.00     | MDDDRP+Cambria
locked.              | 70.87      | 639.00     | MDDDRP+Cambria
If                   | 103.99     | 639.00     | MDDDRP+Cambria
the                  | 112.78     | 639.00     | MDDDRP+Cambria
CZ                   | 129.25     | 639.00     | MDDDRP+Cambria
specification        | 142.82     | 639.00     | MDDDRP+Cambria
element              | 201.09     | 639.00     | MDDDRP+Cambria
had                  | 238.03     | 639.00     | MDDDRP+Cambria
been                 | 256.52     | 639.00     | MDDDRP+Cambria
used                 | 279.95     | 639.00     | MDDDRP+Cambria
instead,             | 302.99     | 639.00     | MDDDRP+Cambria
the                  | 339.88     | 639.00     | MDDDRP+Cambria
tolerance            | 356.36     | 639.00     | MDDDRP+Cambria
zones                | 399.51     | 639.00     | MDDDRP+Cambria
would                | 426.67     | 639.00     | MDDDRP+Cambria
have                 | 456.01     | 639.00     | MDDDRP+Cambria
been                 | 478.83     | 639.00     | MDDDRP+Cambria
locked               | 502.25     | 639.00     | MDDDRP+Cambria
at                   | 533.10     | 639.00     | MDDDRP+Cambria
45°                  | 543.79     | 639.00     | MDDDRP+Cambria
intervals.           | 70.87      | 650.00     | XELMPT+Cambria
