Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
10                   | 36.85      | 86.04      | XELMPT+Cambria-Bold
Theoretically        | 56.69      | 86.04      | XELMPT+Cambria-Bold
exact                | 139.08     | 86.04      | XELMPT+Cambria-Bold
dimensions           | 173.04     | 86.04      | XELMPT+Cambria-Bold
(TED)                | 245.33     | 86.04      | XELMPT+Cambria-Bold
If                   | 36.85      | 133.27     | MDDDRP+Cambria
location,            | 47.27      | 133.27     | MDDDRP+Cambria
orientation          | 91.23      | 133.27     | MDDDRP+Cambria
or                   | 148.02     | 133.27     | MDDDRP+Cambria
profile              | 161.75     | 133.27     | MDDDRP+Cambria
specifications       | 196.96     | 133.27     | MDDDRP+Cambria
are                  | 266.18     | 133.27     | MDDDRP+Cambria
indicated            | 285.23     | 133.27     | MDDDRP+Cambria
for                  | 333.09     | 133.27     | MDDDRP+Cambria
a                    | 350.18     | 133.27     | MDDDRP+Cambria
feature              | 358.98     | 133.27     | MDDDRP+Cambria
or                   | 397.02     | 133.27     | MDDDRP+Cambria
a                    | 410.74     | 133.27     | MDDDRP+Cambria
group                | 419.55     | 133.27     | MDDDRP+Cambria
of                   | 451.28     | 133.27     | MDDDRP+Cambria
features,            | 463.80     | 133.27     | MDDDRP+Cambria
the                  | 509.01     | 133.27     | MDDDRP+Cambria
dimensions           | 36.85      | 145.37     | MDDDRP+Cambria
determining          | 94.26      | 145.37     | MDDDRP+Cambria
the                  | 156.12     | 145.37     | MDDDRP+Cambria
theoretically        | 174.26     | 145.37     | MDDDRP+Cambria
exact                | 237.90     | 145.37     | MDDDRP+Cambria
location,            | 265.83     | 145.37     | MDDDRP+Cambria
orientation          | 309.09     | 145.37     | MDDDRP+Cambria
or                   | 365.18     | 145.37     | MDDDRP+Cambria
profile,             | 378.20     | 145.37     | MDDDRP+Cambria
respectively,        | 415.00     | 145.37     | MDDDRP+Cambria
are                  | 477.71     | 145.37     | MDDDRP+Cambria
called               | 496.06     | 145.37     | MDDDRP+Cambria
theoretically        | 36.85      | 157.47     | MDDDRP+Cambria
exact                | 100.19     | 157.47     | MDDDRP+Cambria
dimensions           | 127.81     | 157.47     | MDDDRP+Cambria
(TED).               | 184.91     | 157.47     | MDDDRP+Cambria
TED                  | 218.19     | 157.47     | MDDDRP+Cambria
can                  | 240.96     | 157.47     | MDDDRP+Cambria
be                   | 260.18     | 157.47     | MDDDRP+Cambria
explicit             | 274.05     | 157.47     | MDDDRP+Cambria
or                   | 311.52     | 157.47     | MDDDRP+Cambria
implicit.            | 324.25     | 157.47     | MDDDRP+Cambria
TED                  | 36.85      | 178.78     | MDDDRP+Cambria
shall                | 59.62      | 178.78     | MDDDRP+Cambria
also                 | 84.65      | 178.78     | MDDDRP+Cambria
be                   | 106.42     | 178.78     | MDDDRP+Cambria
used                 | 120.29     | 178.78     | MDDDRP+Cambria
to                   | 145.29     | 178.78     | MDDDRP+Cambria
indicate             | 157.44     | 178.78     | MDDDRP+Cambria
the                  | 198.08     | 178.78     | MDDDRP+Cambria
angles               | 215.91     | 178.78     | MDDDRP+Cambria
between              | 248.83     | 178.78     | MDDDRP+Cambria
the                  | 292.33     | 178.78     | MDDDRP+Cambria
datums               | 310.17     | 178.78     | MDDDRP+Cambria
in                   | 348.55     | 178.78     | MDDDRP+Cambria
a                    | 360.29     | 178.78     | MDDDRP+Cambria
datum                | 368.08     | 178.78     | MDDDRP+Cambria
system.              | 401.58     | 178.78     | MDDDRP+Cambria
TED                  | 36.85      | 200.09     | MDDDRP+Cambria
shall                | 59.50      | 200.09     | MDDDRP+Cambria
not                  | 84.43      | 200.09     | MDDDRP+Cambria
be                   | 102.34     | 200.09     | MDDDRP+Cambria
toleranced.          | 116.08     | 200.09     | MDDDRP+Cambria
They                 | 171.50     | 200.09     | MDDDRP+Cambria
are                  | 197.53     | 200.09     | MDDDRP+Cambria
to                   | 215.46     | 200.09     | MDDDRP+Cambria
be                   | 227.49     | 200.09     | MDDDRP+Cambria
enclosed             | 241.24     | 200.09     | MDDDRP+Cambria
in                   | 284.89     | 200.09     | MDDDRP+Cambria
a                    | 296.52     | 200.09     | MDDDRP+Cambria
frame                | 304.20     | 200.09     | MDDDRP+Cambria
(see                 | 334.90     | 200.09     | MDDDRP+Cambria
the                  | 356.38     | 200.09     | MDDDRP+Cambria
examples             | 374.09     | 200.09     | MDDDRP+Cambria
in                   | 421.12     | 200.09     | MDDDRP+Cambria
Figures              | 432.75     | 200.09     | XELMPT+Cambria
64                   | 471.00     | 200.09     | XELMPT+Cambria
and                  | 485.69     | 200.09     | XELMPT+Cambria
65).                 | 505.74     | 200.09     | XELMPT+Cambria
TEDs                 | 36.85      | 221.40     | MDDDRP+Cambria
or                   | 66.35      | 221.40     | MDDDRP+Cambria
CAD                  | 81.05      | 221.40     | MDDDRP+Cambria
data                 | 106.45     | 221.40     | MDDDRP+Cambria
shall                | 131.90     | 221.40     | MDDDRP+Cambria
be                   | 158.92     | 221.40     | MDDDRP+Cambria
used                 | 174.76     | 221.40     | MDDDRP+Cambria
to                   | 201.74     | 221.40     | MDDDRP+Cambria
define               | 215.86     | 221.40     | MDDDRP+Cambria
the                  | 250.00     | 221.40     | MDDDRP+Cambria
nominal              | 269.81     | 221.40     | MDDDRP+Cambria
geometry             | 313.33     | 221.40     | MDDDRP+Cambria
of                   | 363.54     | 221.40     | MDDDRP+Cambria
complex              | 377.03     | 221.40     | MDDDRP+Cambria
surfaces             | 420.84     | 221.40     | MDDDRP+Cambria
(i.e.                | 465.15     | 221.40     | MDDDRP+Cambria
non-flat             | 486.91     | 221.40     | MDDDRP+Cambria
surfaces).           | 36.85      | 233.50     | XELMPT+Cambria
TEDs                 | 36.85      | 254.82     | MDDDRP+Cambria
shall                | 64.69      | 254.82     | MDDDRP+Cambria
be                   | 90.05      | 254.82     | MDDDRP+Cambria
used                 | 104.23     | 254.82     | MDDDRP+Cambria
if                   | 129.54     | 254.82     | MDDDRP+Cambria
the                  | 138.82     | 254.82     | MDDDRP+Cambria
requirements         | 156.97     | 254.82     | MDDDRP+Cambria
are                  | 224.54     | 254.82     | MDDDRP+Cambria
related,             | 242.90     | 254.82     | MDDDRP+Cambria
i.e.                 | 281.92     | 254.82     | MDDDRP+Cambria
if                   | 297.94     | 254.82     | MDDDRP+Cambria
tolerance            | 307.22     | 254.82     | MDDDRP+Cambria
zones                | 354.40     | 254.82     | MDDDRP+Cambria
shall                | 384.19     | 254.82     | MDDDRP+Cambria
maintain             | 409.55     | 254.82     | MDDDRP+Cambria
a                    | 455.39     | 254.82     | MDDDRP+Cambria
theoretically        | 463.50     | 254.82     | MDDDRP+Cambria
exact                | 36.85      | 266.92     | XELMPT+Cambria
relationship         | 64.47      | 266.92     | XELMPT+Cambria
to                   | 124.41     | 266.92     | XELMPT+Cambria
each                 | 136.56     | 266.92     | XELMPT+Cambria
other                | 160.77     | 266.92     | XELMPT+Cambria
and/or               | 188.92     | 266.92     | XELMPT+Cambria
be                   | 224.04     | 266.92     | XELMPT+Cambria
treated              | 237.90     | 266.92     | XELMPT+Cambria
as                   | 275.41     | 266.92     | XELMPT+Cambria
one                  | 288.13     | 266.92     | XELMPT+Cambria
tolerance            | 307.71     | 266.92     | XELMPT+Cambria
zone.                | 354.58     | 266.92     | XELMPT+Cambria
Figure               | 184.76     | 448.26     | XELMPT+Cambria-Bold
64                   | 220.70     | 448.26     | XELMPT+Cambria-Bold
—                    | 236.37     | 448.26     | XELMPT+Cambria-Bold
Indication           | 249.79     | 448.26     | XELMPT+Cambria-Bold
of                   | 304.63     | 448.26     | XELMPT+Cambria-Bold
linear               | 316.84     | 448.26     | XELMPT+Cambria-Bold
TEDs                 | 349.98     | 448.26     | XELMPT+Cambria-Bold
Figure               | 175.17     | 597.50     | XELMPT+Cambria-Bold
65                   | 211.12     | 597.50     | XELMPT+Cambria-Bold
—                    | 226.49     | 597.50     | XELMPT+Cambria-Bold
Indication           | 239.92     | 597.50     | XELMPT+Cambria-Bold
of                   | 294.75     | 597.50     | XELMPT+Cambria-Bold
an                   | 306.96     | 597.50     | XELMPT+Cambria-Bold
angular              | 322.07     | 597.50     | XELMPT+Cambria-Bold
TED                  | 364.66     | 597.50     | XELMPT+Cambria-Bold
TEDs                 | 36.85      | 651.83     | MDDDRP+Cambria
may                  | 64.90      | 651.83     | MDDDRP+Cambria
be                   | 87.97      | 651.83     | MDDDRP+Cambria
extracted            | 102.35     | 651.83     | MDDDRP+Cambria
from                 | 151.21     | 651.83     | MDDDRP+Cambria
the                  | 177.43     | 651.83     | MDDDRP+Cambria
