Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
Figure               | 103.40     | 208.36     | XELMPT+Cambria-Bold
19                   | 139.34     | 208.36     | XELMPT+Cambria-Bold
—                    | 154.18     | 208.36     | XELMPT+Cambria-Bold
Combined             | 167.60     | 208.36     | XELMPT+Cambria-Bold
zone                 | 221.41     | 208.36     | XELMPT+Cambria-Bold
specification        | 247.79     | 208.36     | XELMPT+Cambria-Bold
applying             | 316.01     | 208.36     | XELMPT+Cambria-Bold
to                   | 362.91     | 208.36     | XELMPT+Cambria-Bold
several              | 375.73     | 208.36     | XELMPT+Cambria-Bold
features             | 415.28     | 208.36     | XELMPT+Cambria-Bold
NOTE                 | 36.85      | 359.25     | MDDDRP+Cambria
If                   | 85.04      | 359.25     | MDDDRP+Cambria
the                  | 93.64      | 359.25     | MDDDRP+Cambria
toleranced           | 109.94     | 359.25     | MDDDRP+Cambria
features             | 158.59     | 359.25     | MDDDRP+Cambria
are                  | 196.93     | 359.25     | MDDDRP+Cambria
flat                 | 213.41     | 359.25     | MDDDRP+Cambria
surfaces,            | 230.41     | 359.25     | MDDDRP+Cambria
the                  | 271.39     | 359.25     | MDDDRP+Cambria
position             | 287.69     | 359.25     | MDDDRP+Cambria
symbol               | 325.48     | 359.25     | MDDDRP+Cambria
can                  | 359.53     | 359.25     | MDDDRP+Cambria
be                   | 377.10     | 359.25     | MDDDRP+Cambria
used                 | 389.75     | 359.25     | MDDDRP+Cambria
with                 | 412.61     | 359.25     | MDDDRP+Cambria
the                  | 435.00     | 359.25     | MDDDRP+Cambria
same                 | 451.30     | 359.25     | MDDDRP+Cambria
meaning.             | 476.21     | 359.25     | MDDDRP+Cambria
Figure               | 103.19     | 366.73     | XELMPT+Cambria-Bold
20                   | 139.13     | 366.73     | XELMPT+Cambria-Bold
—                    | 154.39     | 366.73     | XELMPT+Cambria-Bold
Combined             | 167.81     | 366.73     | XELMPT+Cambria-Bold
zone                 | 221.62     | 366.73     | XELMPT+Cambria-Bold
specification        | 248.00     | 366.73     | XELMPT+Cambria-Bold
applying             | 316.23     | 366.73     | XELMPT+Cambria-Bold
to                   | 363.12     | 366.73     | XELMPT+Cambria-Bold
several              | 375.94     | 366.73     | XELMPT+Cambria-Bold
features             | 415.49     | 366.73     | XELMPT+Cambria-Bold
The                  | 36.85      | 421.06     | MDDDRP+Cambria
specification        | 57.33      | 421.06     | MDDDRP+Cambria
element              | 120.55     | 421.06     | MDDDRP+Cambria
CZ                   | 160.47     | 395.42     | RDMCJF+ISO3098B-Medium
can                  | 172.90     | 421.06     | XELMPT+Cambria
be                   | 192.02     | 421.06     | XELMPT+Cambria
used                 | 205.79     | 421.06     | XELMPT+Cambria
to                   | 230.69     | 421.06     | XELMPT+Cambria
create               | 242.74     | 421.06     | XELMPT+Cambria
a                    | 274.94     | 421.06     | XELMPT+Cambria
pattern;             | 282.63     | 421.06     | XELMPT+Cambria
for                  | 323.73     | 421.06     | XELMPT+Cambria
more                 | 339.71     | 421.06     | XELMPT+Cambria
details              | 366.89     | 421.06     | XELMPT+Cambria
on                   | 401.48     | 421.06     | XELMPT+Cambria
patterns,            | 415.69     | 421.06     | XELMPT+Cambria
see                  | 461.18     | 421.06     | XELMPT+Cambria
ISO                  | 479.11     | 421.06     | XELMPT+Cambria
5458.                | 497.75     | 421.06     | XELMPT+Cambria
In                   | 36.85      | 442.37     | MDDDRP+Cambria
case                 | 49.66      | 442.37     | MDDDRP+Cambria
of                   | 73.50      | 442.37     | MDDDRP+Cambria
ambiguity,           | 85.63      | 442.37     | MDDDRP+Cambria
either               | 138.86     | 442.37     | MDDDRP+Cambria
SZ                   | 170.51     | 416.73     | RDMCJF+ISO3098B-Medium
or                   | 184.18     | 442.37     | XELMPT+Cambria
CZ                   | 197.41     | 416.73     | RDMCJF+ISO3098B-Medium
shall                | 210.56     | 442.37     | MDDDRP+Cambria
be                   | 236.22     | 442.37     | MDDDRP+Cambria
indicated.           | 250.70     | 442.37     | MDDDRP+Cambria
When                 | 300.62     | 442.37     | MDDDRP+Cambria
using                | 331.69     | 442.37     | MDDDRP+Cambria
“all                 | 360.61     | 442.37     | MDDDRP+Cambria
around”              | 379.32     | 442.37     | MDDDRP+Cambria
or                   | 420.85     | 442.37     | MDDDRP+Cambria
“all                 | 434.19     | 442.37     | MDDDRP+Cambria
over”,               | 452.90     | 442.37     | MDDDRP+Cambria
separate             | 483.27     | 442.37     | MDDDRP+Cambria
rules                | 36.85      | 454.47     | MDDDRP+Cambria
apply,               | 63.51      | 454.47     | MDDDRP+Cambria
see                  | 93.51      | 454.47     | MDDDRP+Cambria
9.1.2.               | 111.54     | 454.47     | XELMPT+Cambria
8.2.2.1.3            | 36.85      | 457.65     | XELMPT+Cambria-Bold
Specified            | 92.13      | 457.65     | XELMPT+Cambria-Bold
tolerance            | 140.66     | 457.65     | XELMPT+Cambria-Bold
zone                 | 190.79     | 457.65     | XELMPT+Cambria-Bold
offset               | 217.22     | 457.65     | XELMPT+Cambria-Bold
specification        | 247.98     | 457.65     | XELMPT+Cambria-Bold
element              | 314.94     | 457.65     | XELMPT+Cambria-Bold
By                   | 36.85      | 503.47     | MDDDRP+Cambria
default,             | 51.32      | 503.47     | MDDDRP+Cambria
the                  | 89.05      | 503.47     | MDDDRP+Cambria
tolerance            | 106.46     | 503.47     | MDDDRP+Cambria
zone                 | 152.91     | 503.47     | MDDDRP+Cambria
is                   | 177.16     | 503.47     | MDDDRP+Cambria
symmetrical          | 187.10     | 503.47     | MDDDRP+Cambria
around               | 249.43     | 503.47     | MDDDRP+Cambria
the                  | 285.84     | 503.47     | MDDDRP+Cambria
theoretically        | 303.26     | 503.47     | MDDDRP+Cambria
exact                | 366.18     | 503.47     | MDDDRP+Cambria
feature              | 393.38     | 503.47     | MDDDRP+Cambria
(TEF),               | 430.00     | 503.47     | MDDDRP+Cambria
making               | 462.40     | 503.47     | MDDDRP+Cambria
it                   | 500.22     | 503.47     | MDDDRP+Cambria
the                  | 509.01     | 503.47     | MDDDRP+Cambria
reference            | 36.85      | 515.57     | XELMPT+Cambria
feature.             | 84.28      | 515.57     | XELMPT+Cambria
The                  | 123.63     | 515.57     | XELMPT+Cambria
tolerance            | 144.18     | 515.57     | XELMPT+Cambria
zone                 | 191.02     | 515.57     | XELMPT+Cambria
offset               | 215.65     | 515.57     | XELMPT+Cambria
using                | 244.98     | 515.57     | XELMPT+Cambria
UZ                   | 272.95     | 489.63     | RDMCJF+ISO3098B-Medium
is                   | 285.62     | 515.57     | MDDDRP+Cambria
an                   | 295.94     | 515.57     | MDDDRP+Cambria
optional             | 310.03     | 515.57     | MDDDRP+Cambria
specification        | 351.95     | 515.57     | MDDDRP+Cambria
element.             | 415.24     | 515.57     | MDDDRP+Cambria
See                  | 457.97     | 515.57     | MDDDRP+Cambria
Figure               | 476.76     | 515.57     | XELMPT+Cambria
21.                  | 510.56     | 515.57     | XELMPT+Cambria
