Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
Key                  | 70.87      | 345.44     | HBOUZZ+Cambria-Bold
1                    | 70.87      | 357.95     | XELMPT+Cambria
unfiltered           | 90.76      | 357.95     | MDDDRP+Cambria
profile              | 135.18     | 357.95     | MDDDRP+Cambria
Figure               | 215.65     | 389.45     | XELMPT+Cambria-Bold
E.5                  | 251.60     | 389.45     | XELMPT+Cambria-Bold
—                    | 270.00     | 389.45     | XELMPT+Cambria-Bold
Unfiltered           | 283.42     | 389.45     | XELMPT+Cambria-Bold
surface              | 338.60     | 389.45     | XELMPT+Cambria-Bold
profile              | 378.93     | 389.45     | XELMPT+Cambria-Bold
Without              | 70.87      | 419.75     | MDDDRP+Cambria
filtering,           | 113.60     | 419.75     | MDDDRP+Cambria
the                  | 158.94     | 419.75     | MDDDRP+Cambria
profiles             | 178.20     | 419.75     | MDDDRP+Cambria
in                   | 218.64     | 419.75     | MDDDRP+Cambria
Figure               | 231.82     | 419.75     | XELMPT+Cambria
E.1                  | 267.04     | 419.75     | XELMPT+Cambria
and                  | 285.45     | 419.75     | XELMPT+Cambria
E.5                  | 307.04     | 419.75     | XELMPT+Cambria
would                | 326.18     | 419.75     | MDDDRP+Cambria
pass                 | 359.48     | 419.75     | MDDDRP+Cambria
the                  | 384.63     | 419.75     | MDDDRP+Cambria
same                 | 403.89     | 419.75     | MDDDRP+Cambria
specifications       | 432.58     | 419.75     | MDDDRP+Cambria
and                  | 502.22     | 419.75     | MDDDRP+Cambria
fail                 | 523.81     | 419.75     | MDDDRP+Cambria
the                  | 543.02     | 419.75     | MDDDRP+Cambria
same                 | 70.87      | 431.85     | MDDDRP+Cambria
specifications.      | 98.13      | 431.85     | MDDDRP+Cambria
