Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
17.10.5              | 70.87      | 85.88      | XELMPT+Cambria-Bold
Parallelism          | 109.14     | 85.88      | XELMPT+Cambria-Bold
specification        | 169.00     | 85.88      | XELMPT+Cambria-Bold
of                   | 235.94     | 85.88      | XELMPT+Cambria-Bold
a                    | 248.21     | 85.88      | XELMPT+Cambria-Bold
set                  | 256.51     | 85.88      | XELMPT+Cambria-Bold
of                   | 273.84     | 85.88      | XELMPT+Cambria-Bold
lines                | 286.10     | 85.88      | XELMPT+Cambria-Bold
in                   | 312.90     | 85.88      | XELMPT+Cambria-Bold
a                    | 325.42     | 85.88      | XELMPT+Cambria-Bold
surface              | 333.77     | 85.88      | XELMPT+Cambria-Bold
related              | 373.29     | 85.88      | XELMPT+Cambria-Bold
to                   | 412.01     | 85.88      | XELMPT+Cambria-Bold
a                    | 424.56     | 85.88      | XELMPT+Cambria-Bold
datum                | 432.87     | 85.88      | XELMPT+Cambria-Bold
plane                | 468.11     | 85.88      | XELMPT+Cambria-Bold
In                   | 70.87      | 131.71     | XELMPT+Cambria
Figure               | 84.66      | 131.71     | XELMPT+Cambria
122                  | 119.96     | 131.71     | XELMPT+Cambria
,                    | 138.04     | 131.71     | MDDDRP+Cambria
each                 | 144.32     | 131.71     | MDDDRP+Cambria
extracted            | 170.12     | 131.71     | MDDDRP+Cambria
line,                | 220.06     | 131.71     | MDDDRP+Cambria
parallel             | 244.10     | 131.71     | MDDDRP+Cambria
to                   | 284.59     | 131.71     | MDDDRP+Cambria
datum                | 298.34     | 131.71     | MDDDRP+Cambria
plane                | 333.43     | 131.71     | MDDDRP+Cambria
B                    | 363.55     | 131.71     | MDDDRP+Cambria
as                   | 374.29     | 131.71     | MDDDRP+Cambria
specified            | 388.62     | 131.71     | MDDDRP+Cambria
by                   | 435.74     | 131.71     | MDDDRP+Cambria
the                  | 451.29     | 131.71     | MDDDRP+Cambria
intersection         | 470.72     | 131.71     | MDDDRP+Cambria
plane                | 532.33     | 131.71     | MDDDRP+Cambria
indicator,           | 70.87      | 143.81     | XELMPT+Cambria
shall                | 117.95     | 143.81     | XELMPT+Cambria
be                   | 142.88     | 143.81     | XELMPT+Cambria
contained            | 156.63     | 143.81     | XELMPT+Cambria
between              | 206.20     | 143.81     | XELMPT+Cambria
two                  | 249.60     | 143.81     | XELMPT+Cambria
parallel             | 270.38     | 143.81     | XELMPT+Cambria
lines                | 309.16     | 143.81     | XELMPT+Cambria
0,02                 | 334.01     | 143.81     | XELMPT+Cambria
apart,               | 356.66     | 143.81     | XELMPT+Cambria
which                | 387.26     | 143.81     | XELMPT+Cambria
are                  | 418.35     | 143.81     | XELMPT+Cambria
parallel             | 436.28     | 143.81     | XELMPT+Cambria
to                   | 475.06     | 143.81     | XELMPT+Cambria
datum                | 487.09     | 143.81     | XELMPT+Cambria
plane                | 520.47     | 143.81     | XELMPT+Cambria
A.                   | 548.87     | 143.81     | XELMPT+Cambria
Datum                | 70.87      | 155.91     | MDDDRP+Cambria
B                    | 105.40     | 155.91     | MDDDRP+Cambria
is                   | 114.54     | 155.91     | MDDDRP+Cambria
a                    | 124.90     | 155.91     | MDDDRP+Cambria
primary              | 132.69     | 155.91     | MDDDRP+Cambria
datum,               | 174.54     | 155.91     | MDDDRP+Cambria
