Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
Annex                | 285.10     | 86.27      | XELMPT+Cambria-Bold
E                    | 334.94     | 86.27      | XELMPT+Cambria-Bold
(informative)        | 268.86     | 138.49     | XELMPT+Cambria
Filter               | 267.86     | 139.07     | HBOUZZ+Cambria-Bold
details              | 311.66     | 139.07     | HBOUZZ+Cambria-Bold
E.1                  | 70.87      | 205.08     | XELMPT+Cambria-Bold
Introduction         | 99.22      | 205.08     | XELMPT+Cambria-Bold
to                   | 178.12     | 205.08     | XELMPT+Cambria-Bold
filters              | 192.97     | 205.08     | XELMPT+Cambria-Bold
Different            | 70.87      | 252.31     | MDDDRP+Cambria
workpiece            | 118.42     | 252.31     | MDDDRP+Cambria
functions            | 172.83     | 252.31     | MDDDRP+Cambria
interact             | 222.65     | 252.31     | MDDDRP+Cambria
with                 | 264.88     | 252.31     | MDDDRP+Cambria
the                  | 291.77     | 252.31     | MDDDRP+Cambria
surface              | 312.00     | 252.31     | MDDDRP+Cambria
of                   | 351.91     | 252.31     | MDDDRP+Cambria
the                  | 365.81     | 252.31     | MDDDRP+Cambria
workpiece            | 386.03     | 252.31     | MDDDRP+Cambria
in                   | 440.44     | 252.31     | MDDDRP+Cambria
different            | 454.58     | 252.31     | MDDDRP+Cambria
ways.                | 501.05     | 252.31     | MDDDRP+Cambria
Some                 | 532.70     | 252.31     | MDDDRP+Cambria
functions            | 70.87      | 264.41     | MDDDRP+Cambria
may                  | 119.92     | 264.41     | MDDDRP+Cambria
depend               | 144.08     | 264.41     | MDDDRP+Cambria
on                   | 183.09     | 264.41     | MDDDRP+Cambria
the                  | 199.02     | 264.41     | MDDDRP+Cambria
finest               | 218.46     | 264.41     | MDDDRP+Cambria
details              | 249.57     | 264.41     | MDDDRP+Cambria
in                   | 285.88     | 264.41     | MDDDRP+Cambria
the                  | 299.25     | 264.41     | MDDDRP+Cambria
surface,             | 318.69     | 264.41     | MDDDRP+Cambria
whereas              | 360.12     | 264.41     | MDDDRP+Cambria
others               | 404.51     | 264.41     | MDDDRP+Cambria
may                  | 439.22     | 264.41     | MDDDRP+Cambria
depend               | 463.39     | 264.41     | MDDDRP+Cambria
only                 | 502.39     | 264.41     | MDDDRP+Cambria
on                   | 527.09     | 264.41     | MDDDRP+Cambria
the                  | 543.02     | 264.41     | MDDDRP+Cambria
general              | 70.87      | 276.51     | XELMPT+Cambria
shape                | 108.77     | 276.51     | XELMPT+Cambria
of                   | 138.95     | 276.51     | XELMPT+Cambria
the                  | 150.52     | 276.51     | XELMPT+Cambria
surface.             | 168.42     | 276.51     | XELMPT+Cambria
Filters              | 208.37     | 276.51     | XELMPT+Cambria
are                  | 241.71     | 276.51     | XELMPT+Cambria
used                 | 259.82     | 276.51     | XELMPT+Cambria
to                   | 284.89     | 276.51     | XELMPT+Cambria
disregard            | 297.10     | 276.51     | XELMPT+Cambria
some                 | 345.98     | 276.51     | XELMPT+Cambria
level                | 373.39     | 276.51     | XELMPT+Cambria
of                   | 397.94     | 276.51     | XELMPT+Cambria
details              | 409.52     | 276.51     | XELMPT+Cambria
from                 | 444.28     | 276.51     | XELMPT+Cambria
a                    | 470.04     | 276.51     | XELMPT+Cambria
feature,             | 477.90     | 276.51     | XELMPT+Cambria
allowing             | 517.29     | 276.51     | XELMPT+Cambria
the                  | 70.87      | 288.61     | MDDDRP+Cambria
specification        | 88.31      | 288.61     | MDDDRP+Cambria
to                   | 151.24     | 288.61     | MDDDRP+Cambria
better               | 163.00     | 288.61     | MDDDRP+Cambria
define               | 194.51     | 288.61     | MDDDRP+Cambria
requirements         | 226.29     | 288.61     | MDDDRP+Cambria
to                   | 293.16     | 288.61     | MDDDRP+Cambria
the                  | 304.92     | 288.61     | MDDDRP+Cambria
remaining            | 322.36     | 288.61     | MDDDRP+Cambria
surface              | 373.49     | 288.61     | MDDDRP+Cambria
details.             | 410.62     | 288.61     | MDDDRP+Cambria
Different            | 447.38     | 288.61     | MDDDRP+Cambria
filters              | 492.15     | 288.61     | MDDDRP+Cambria
remove               | 522.81     | 288.61     | MDDDRP+Cambria
different            | 70.87      | 300.71     | MDDDRP+Cambria
types                | 115.58     | 300.71     | MDDDRP+Cambria
of                   | 145.19     | 300.71     | MDDDRP+Cambria
details              | 157.35     | 300.71     | MDDDRP+Cambria
and                  | 192.68     | 300.71     | MDDDRP+Cambria
can                  | 213.49     | 300.71     | MDDDRP+Cambria
be                   | 233.36     | 300.71     | MDDDRP+Cambria
used                 | 247.87     | 300.71     | MDDDRP+Cambria
to                   | 273.51     | 300.71     | MDDDRP+Cambria
better               | 286.30     | 300.71     | MDDDRP+Cambria
express              | 318.85     | 300.71     | MDDDRP+Cambria
different            | 358.68     | 300.71     | MDDDRP+Cambria
functions            | 403.39     | 300.71     | MDDDRP+Cambria
with                 | 451.47     | 300.71     | MDDDRP+Cambria
the                  | 476.61     | 300.71     | MDDDRP+Cambria
specification.       | 495.08     | 300.71     | MDDDRP+Cambria
Some                 | 70.87      | 312.81     | MDDDRP+Cambria
