Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
8.2.2.1.2            | 70.87      | 85.88      | XELMPT+Cambria-Bold
Combination          | 126.14     | 85.88      | XELMPT+Cambria-Bold
specification        | 193.70     | 85.88      | XELMPT+Cambria-Bold
element              | 260.64     | 85.88      | XELMPT+Cambria-Bold
If                   | 70.87      | 107.68     | MDDDRP+Cambria
the                  | 82.75      | 107.68     | MDDDRP+Cambria
specification        | 103.05     | 107.68     | MDDDRP+Cambria
applies              | 168.85     | 107.68     | MDDDRP+Cambria
to                   | 207.40     | 107.68     | MDDDRP+Cambria
several              | 222.02     | 107.68     | MDDDRP+Cambria
features,            | 261.14     | 107.68     | MDDDRP+Cambria
see                  | 307.81     | 107.68     | MDDDRP+Cambria
Figures              | 328.30     | 107.68     | XELMPT+Cambria
17                   | 369.68     | 107.68     | XELMPT+Cambria
to                   | 385.69     | 107.68     | XELMPT+Cambria
20,                  | 400.31     | 107.68     | XELMPT+Cambria
an                   | 419.43     | 107.68     | XELMPT+Cambria
indication           | 436.03     | 107.68     | XELMPT+Cambria
shall                | 488.81     | 107.68     | XELMPT+Cambria
be                   | 516.31     | 107.68     | XELMPT+Cambria
given                | 532.65     | 107.68     | XELMPT+Cambria
indicating           | 70.87      | 119.78     | MDDDRP+Cambria
how                  | 121.13     | 119.78     | MDDDRP+Cambria
the                  | 143.76     | 119.78     | MDDDRP+Cambria
specification        | 161.59     | 119.78     | MDDDRP+Cambria
applies              | 224.91     | 119.78     | MDDDRP+Cambria
to                   | 261.00     | 119.78     | MDDDRP+Cambria
the                  | 273.14     | 119.78     | MDDDRP+Cambria
features.            | 290.97     | 119.78     | MDDDRP+Cambria
By                   | 70.87      | 141.09     | MDDDRP+Cambria
default,             | 88.74      | 141.09     | MDDDRP+Cambria
the                  | 129.88     | 141.09     | MDDDRP+Cambria
specification        | 150.71     | 141.09     | MDDDRP+Cambria
requirement          | 217.02     | 141.09     | MDDDRP+Cambria
for                  | 282.16     | 141.09     | MDDDRP+Cambria
each                 | 301.24     | 141.09     | MDDDRP+Cambria
toleranced           | 328.43     | 141.09     | MDDDRP+Cambria
feature              | 384.50     | 141.09     | MDDDRP+Cambria
is                   | 424.53     | 141.09     | MDDDRP+Cambria
independent,         | 437.87     | 141.09     | MDDDRP+Cambria
due                  | 505.10     | 141.09     | MDDDRP+Cambria
to                   | 527.88     | 141.09     | MDDDRP+Cambria
the                  | 543.02     | 141.09     | MDDDRP+Cambria
independency         | 70.87      | 153.19     | MDDDRP+Cambria
principle,           | 139.56     | 153.19     | MDDDRP+Cambria
see                  | 186.74     | 153.19     | MDDDRP+Cambria
ISO                  | 204.76     | 153.19     | MDDDRP+Cambria
8015.                | 223.51     | 153.19     | MDDDRP+Cambria
The                  | 70.87      | 174.51     | XELMPT+Cambria
indication           | 95.83      | 174.51     | XELMPT+Cambria
SZ                   | 150.88     | 148.87     | RDMCJF+ISO3098B-Medium
can                  | 168.31     | 174.51     | MDDDRP+Cambria
optionally           | 191.92     | 174.51     | MDDDRP+Cambria
be                   | 247.01     | 174.51     | MDDDRP+Cambria
indicated            | 265.25     | 174.51     | MDDDRP+Cambria
to                   | 316.48     | 174.51     | MDDDRP+Cambria
emphasize            | 333.00     | 174.51     | MDDDRP+Cambria
the                  | 390.44     | 174.51     | MDDDRP+Cambria
independency         | 412.65     | 174.51     | MDDDRP+Cambria
of                   | 485.72     | 174.51     | MDDDRP+Cambria
the                  | 501.61     | 174.51     | MDDDRP+Cambria
feature              | 523.82     | 174.51     | MDDDRP+Cambria
requirements;        | 70.87      | 186.61     | XELMPT+Cambria
however              | 141.39     | 186.61     | XELMPT+Cambria
it                   | 185.09     | 186.61     | XELMPT+Cambria
does                 | 194.77     | 186.61     | XELMPT+Cambria
not                  | 219.74     | 186.61     | XELMPT+Cambria
change               | 238.25     | 186.61     | XELMPT+Cambria
the                  | 274.79     | 186.61     | XELMPT+Cambria
meaning              | 293.09     | 186.61     | XELMPT+Cambria
of                   | 337.21     | 186.61     | XELMPT+Cambria
the                  | 349.19     | 186.61     | XELMPT+Cambria
indication           | 367.50     | 186.61     | XELMPT+Cambria
in                   | 418.28     | 186.61     | XELMPT+Cambria
this                 | 430.51     | 186.61     | XELMPT+Cambria
case,                | 451.62     | 186.61     | XELMPT+Cambria
see                  | 477.61     | 186.61     | XELMPT+Cambria
Figure               | 496.13     | 186.61     | XELMPT+Cambria
53.                  | 530.17     | 186.61     | XELMPT+Cambria
SZ                   | 547.80     | 160.97     | RDMCJF+ISO3098B-Medium
stands               | 70.87      | 198.71     | MDDDRP+Cambria
for                  | 104.98     | 198.71     | MDDDRP+Cambria
“Separate            | 121.06     | 198.71     | MDDDRP+Cambria
Zones”.              | 169.70     | 198.71     | MDDDRP+Cambria
Figure               | 145.05     | 351.92     | XELMPT+Cambria-Bold
17                   | 180.99     | 351.92     | XELMPT+Cambria-Bold
—                    | 195.77     | 351.92     | XELMPT+Cambria-Bold
Specification        | 209.20     | 351.92     | XELMPT+Cambria-Bold
applying             | 277.98     | 351.92     | XELMPT+Cambria-Bold
to                   | 324.88     | 351.92     | XELMPT+Cambria-Bold
several              | 337.70     | 351.92     | XELMPT+Cambria-Bold
features             | 377.25     | 351.92     | XELMPT+Cambria-Bold
individually         | 422.25     | 351.92     | XELMPT+Cambria-Bold
Figure               | 144.84     | 519.14     | XELMPT+Cambria-Bold
18                   | 180.78     | 519.14     | XELMPT+Cambria-Bold
—                    | 195.99     | 519.14     | XELMPT+Cambria-Bold
Specification        | 209.41     | 519.14     | XELMPT+Cambria-Bold
applying             | 278.19     | 519.14     | XELMPT+Cambria-Bold
to                   | 325.09     | 519.14     | XELMPT+Cambria-Bold
several              | 337.91     | 519.14     | XELMPT+Cambria-Bold
features             | 377.47     | 519.14     | XELMPT+Cambria-Bold
individually         | 422.47     | 519.14     | XELMPT+Cambria-Bold
Where                | 70.87      | 549.44     | XELMPT+Cambria
one                  | 107.76     | 549.44     | XELMPT+Cambria
combined             | 129.87     | 549.44     | XELMPT+Cambria
tolerance            | 181.33     | 549.44     | XELMPT+Cambria
zone                 | 230.73     | 549.44     | XELMPT+Cambria
is                   | 257.93     | 549.44     | XELMPT+Cambria
applied              | 270.81     | 549.44     | XELMPT+Cambria
to                   | 310.82     | 549.44     | XELMPT+Cambria
several              | 325.49     | 549.44     | XELMPT+Cambria
separate             | 364.67     | 549.44     | XELMPT+Cambria
features,            | 410.76     | 549.44     | XELMPT+Cambria
or                   | 457.50     | 549.44     | XELMPT+Cambria
several              | 472.75     | 549.44     | XELMPT+Cambria
combined             | 511.92     | 549.44     | XELMPT+Cambria
tolerance            | 70.87      | 561.54     | MDDDRP+Cambria
zones                | 119.74     | 561.54     | MDDDRP+Cambria
(controlled          | 151.24     | 561.54     | MDDDRP+Cambria
by                   | 208.13     | 561.54     | MDDDRP+Cambria
the                  | 224.09     | 561.54     | MDDDRP+Cambria
same                 | 243.93     | 561.54     | MDDDRP+Cambria
tolerance            | 273.21     | 561.54     | MDDDRP+Cambria
indicator)           | 322.08     | 561.54     | MDDDRP+Cambria
are                  | 373.37     | 561.54     | MDDDRP+Cambria
applied              | 393.43     | 561.54     | MDDDRP+Cambria
simultaneously       | 432.92     | 561.54     | MDDDRP+Cambria
to                   | 510.05     | 561.54     | MDDDRP+Cambria
several              | 524.21     | 561.54     | MDDDRP+Cambria
separate             | 70.87      | 573.64     | MDDDRP+Cambria
features             | 117.75     | 573.64     | MDDDRP+Cambria
(not                 | 162.90     | 573.64     | MDDDRP+Cambria
independently),      | 187.83     | 573.64     | MDDDRP+Cambria
the                  | 267.79     | 573.64     | MDDDRP+Cambria
requirement          | 288.94     | 573.64     | MDDDRP+Cambria
shall                | 354.39     | 573.64     | MDDDRP+Cambria
be                   | 382.75     | 573.64     | MDDDRP+Cambria
