Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
13                   | 36.85      | 86.04      | XELMPT+Cambria-Bold
Intersection         | 56.69      | 86.04      | XELMPT+Cambria-Bold
planes               | 132.45     | 86.04      | XELMPT+Cambria-Bold
13.1                 | 36.85      | 115.53     | XELMPT+Cambria-Bold
Role                 | 65.19      | 115.53     | XELMPT+Cambria-Bold
of                   | 92.45      | 115.53     | XELMPT+Cambria-Bold
intersection         | 105.83     | 115.53     | XELMPT+Cambria-Bold
planes               | 175.37     | 115.53     | XELMPT+Cambria-Bold
Intersection         | 36.85      | 162.06     | MDDDRP+Cambria
planes               | 98.33      | 162.06     | MDDDRP+Cambria
shall                | 132.70     | 162.06     | MDDDRP+Cambria
be                   | 158.78     | 162.06     | MDDDRP+Cambria
used                 | 173.68     | 162.06     | MDDDRP+Cambria
to                   | 199.72     | 162.06     | MDDDRP+Cambria
identify             | 212.90     | 162.06     | MDDDRP+Cambria
the                  | 253.42     | 162.06     | MDDDRP+Cambria
orientation          | 272.29     | 162.06     | MDDDRP+Cambria
of                   | 329.11     | 162.06     | MDDDRP+Cambria
line                 | 341.66     | 162.06     | MDDDRP+Cambria
requirements,        | 362.84     | 162.06     | MDDDRP+Cambria
e.g.                 | 433.50     | 162.06     | MDDDRP+Cambria
straightness         | 452.71     | 162.06     | MDDDRP+Cambria
of                   | 515.33     | 162.06     | MDDDRP+Cambria
a                    | 36.85      | 174.16     | MDDDRP+Cambria
line                 | 45.32      | 174.16     | MDDDRP+Cambria
in                   | 66.14      | 174.16     | MDDDRP+Cambria
a                    | 78.57      | 174.16     | MDDDRP+Cambria
plane,               | 87.04      | 174.16     | MDDDRP+Cambria
line                 | 118.53     | 174.16     | MDDDRP+Cambria
profile,             | 139.35     | 174.16     | MDDDRP+Cambria
orientation          | 176.52     | 174.16     | MDDDRP+Cambria
of                   | 232.98     | 174.16     | MDDDRP+Cambria
a                    | 245.16     | 174.16     | MDDDRP+Cambria
line                 | 253.63     | 174.16     | MDDDRP+Cambria
element              | 274.46     | 174.16     | MDDDRP+Cambria
of                   | 315.26     | 174.16     | MDDDRP+Cambria
a                    | 327.45     | 174.16     | MDDDRP+Cambria
feature,             | 335.92     | 174.16     | MDDDRP+Cambria
see                  | 375.92     | 174.16     | MDDDRP+Cambria
Figure               | 394.61     | 174.16     | XELMPT+Cambria
90                   | 428.86     | 174.16     | XELMPT+Cambria
,                    | 440.95     | 174.16     | MDDDRP+Cambria
and                  | 446.31     | 174.16     | MDDDRP+Cambria
“all                 | 467.15     | 174.16     | MDDDRP+Cambria
around”              | 485.92     | 174.16     | MDDDRP+Cambria
specifications       | 36.85      | 186.26     | MDDDRP+Cambria
for                  | 105.06     | 186.26     | MDDDRP+Cambria
lines                | 121.15     | 186.26     | MDDDRP+Cambria
on                   | 146.11     | 186.26     | MDDDRP+Cambria
surfaces.            | 160.41     | 186.26     | MDDDRP+Cambria
13.2                 | 36.85      | 189.83     | XELMPT+Cambria-Bold
Features             | 65.19      | 189.83     | XELMPT+Cambria-Bold
to                   | 115.44     | 189.83     | XELMPT+Cambria-Bold
be                   | 129.13     | 189.83     | XELMPT+Cambria-Bold
used                 | 145.24     | 189.83     | XELMPT+Cambria-Bold
for                  | 174.09     | 189.83     | XELMPT+Cambria-Bold
establishing         | 193.01     | 189.83     | XELMPT+Cambria-Bold
a                    | 262.81     | 189.83     | XELMPT+Cambria-Bold
family               | 271.87     | 189.83     | XELMPT+Cambria-Bold
of                   | 309.09     | 189.83     | XELMPT+Cambria-Bold
intersection         | 322.47     | 189.83     | XELMPT+Cambria-Bold
planes               | 391.98     | 189.83     | XELMPT+Cambria-Bold
Only                 | 36.85      | 236.36     | MDDDRP+Cambria
surfaces             | 61.68      | 236.36     | MDDDRP+Cambria
belonging            | 104.24     | 236.36     | MDDDRP+Cambria
to                   | 153.72     | 236.36     | MDDDRP+Cambria
one                  | 166.09     | 236.36     | MDDDRP+Cambria
of                   | 185.90     | 236.36     | MDDDRP+Cambria
the                  | 197.64     | 236.36     | MDDDRP+Cambria
following            | 215.70     | 236.36     | MDDDRP+Cambria
invariance           | 262.94     | 236.36     | MDDDRP+Cambria
classes              | 315.98     | 236.36     | MDDDRP+Cambria
shall                | 351.93     | 236.36     | MDDDRP+Cambria
be                   | 377.20     | 236.36     | MDDDRP+Cambria
used                 | 391.29     | 236.36     | MDDDRP+Cambria
to                   | 416.52     | 236.36     | MDDDRP+Cambria
establish            | 428.90     | 236.36     | MDDDRP+Cambria
a                    | 474.43     | 236.36     | MDDDRP+Cambria
family               | 482.45     | 236.36     | MDDDRP+Cambria
of                   | 515.35     | 236.36     | MDDDRP+Cambria
intersection         | 36.85      | 248.46     | XELMPT+Cambria
planes               | 96.85      | 248.46     | XELMPT+Cambria
(see                 | 130.18     | 248.46     | XELMPT+Cambria
ISO                  | 151.78     | 248.46     | XELMPT+Cambria
17450-1):            | 170.62     | 248.46     | XELMPT+Cambria
—                    | 36.85      | 269.77     | XELMPT+Cambria
revolute             | 56.98      | 269.77     | XELMPT+Cambria
(e.g.                | 98.90      | 269.77     | XELMPT+Cambria
a                    | 120.63     | 269.77     | XELMPT+Cambria
cone                 | 128.41     | 269.77     | XELMPT+Cambria
or                   | 152.93     | 269.77     | XELMPT+Cambria
a                    | 165.65     | 269.77     | XELMPT+Cambria
torus);              | 173.44     | 269.77     | XELMPT+Cambria
—                    | 36.85      | 291.08     | MDDDRP+Cambria
cylindrical          | 56.98      | 291.08     | MDDDRP+Cambria
(i.e.                | 110.43     | 291.08     | MDDDRP+Cambria
a                    | 130.22     | 291.08     | MDDDRP+Cambria
cylinder);           | 138.01     | 291.08     | MDDDRP+Cambria
—                    | 36.85      | 312.40     | XELMPT+Cambria
planar               | 56.98      | 312.40     | XELMPT+Cambria
(i.e.                | 90.44      | 312.40     | XELMPT+Cambria
a                    | 110.22     | 312.40     | XELMPT+Cambria
plane).              | 118.01     | 312.40     | XELMPT+Cambria
13.3                 | 36.85      | 315.97     | XELMPT+Cambria-Bold
Graphical            | 65.19      | 315.97     | XELMPT+Cambria-Bold
language             | 121.18     | 315.97     | XELMPT+Cambria-Bold
The                  | 36.85      | 362.50     | MDDDRP+Cambria
intersection         | 57.31      | 362.50     | MDDDRP+Cambria
plane                | 117.20     | 362.50     | MDDDRP+Cambria
shall                | 145.59     | 362.50     | MDDDRP+Cambria
be                   | 170.51     | 362.50     | MDDDRP+Cambria
specified            | 184.26     | 362.50     | MDDDRP+Cambria
through              | 229.65     | 362.50     | MDDDRP+Cambria
an                   | 270.52     | 362.50     | MDDDRP+Cambria
intersection         | 284.53     | 362.50     | MDDDRP+Cambria
plane                | 344.41     | 362.50     | MDDDRP+Cambria
indicator            | 372.81     | 362.50     | MDDDRP+Cambria
placed               | 418.25     | 362.50     | MDDDRP+Cambria
as                   | 451.48     | 362.50     | MDDDRP+Cambria
an                   | 464.09     | 362.50     | MDDDRP+Cambria
extension            | 478.10     | 362.50     | MDDDRP+Cambria
to                   | 36.85      | 374.60     | XELMPT+Cambria
the                  | 49.00      | 374.60     | XELMPT+Cambria
right                | 66.83      | 374.60     | XELMPT+Cambria
of                   | 92.56      | 374.60     | XELMPT+Cambria
the                  | 104.08     | 374.60     | XELMPT+Cambria
tolerance            | 121.91     | 374.60     | XELMPT+Cambria
indicator            | 168.78     | 374.60     | XELMPT+Cambria
(see                 | 214.34     | 374.60     | XELMPT+Cambria
Figure               | 235.93     | 374.60     | XELMPT+Cambria
76).                 | 270.08     | 374.60     | XELMPT+Cambria
Figure               | 177.03     | 401.61     | XELMPT+Cambria-Bold
76                   | 212.97     | 401.61     | XELMPT+Cambria-Bold
—                    | 227.86     | 401.61     | XELMPT+Cambria-Bold
Intersection         | 241.28     | 401.61     | XELMPT+Cambria-Bold
plane                | 306.45     | 401.61     | XELMPT+Cambria-Bold
indicator            | 337.32     | 401.61     | XELMPT+Cambria-Bold
If                   | 36.85      | 455.94     | MDDDRP+Cambria
necessary,           | 48.62      | 455.94     | MDDDRP+Cambria
the                  | 102.70     | 455.94     | MDDDRP+Cambria
reference            | 122.88     | 455.94     | MDDDRP+Cambria
line                 | 172.70     | 455.94     | MDDDRP+Cambria
can                  | 195.21     | 455.94     | MDDDRP+Cambria
be                   | 216.79     | 455.94     | MDDDRP+Cambria
attached             | 233.02     | 455.94     | MDDDRP+Cambria
to                   | 279.26     | 455.94     | MDDDRP+Cambria
the                  | 293.76     | 455.94     | MDDDRP+Cambria
intersection         | 313.95     | 455.94     | MDDDRP+Cambria
plane                | 376.31     | 455.94     | MDDDRP+Cambria
indicator            | 407.19     | 455.94     | MDDDRP+Cambria
instead              | 455.11     | 455.94     | MDDDRP+Cambria
of                   | 495.14     | 455.94     | MDDDRP+Cambria
the                  | 509.01     | 455.94     | MDDDRP+Cambria
tolerance            | 36.85      | 468.04     | XELMPT+Cambria
indicator,           | 83.89      | 468.04     | XELMPT+Cambria
see                  | 131.27     | 468.04     | XELMPT+Cambria
Figure               | 149.48     | 468.04     | XELMPT+Cambria
46                   | 183.21     | 468.04     | XELMPT+Cambria
.                    | 195.73     | 468.04     | MDDDRP+Cambria
The                  | 200.58     | 468.04     | MDDDRP+Cambria
symbol               | 221.35     | 468.04     | MDDDRP+Cambria
defining             | 258.74     | 468.04     | MDDDRP+Cambria
how                  | 300.78     | 468.04     | MDDDRP+Cambria
the                  | 323.59     | 468.04     | MDDDRP+Cambria
intersection         | 341.60     | 468.04     | MDDDRP+Cambria
plane                | 401.77     | 468.04     | MDDDRP+Cambria
is                   | 430.47     | 468.04     | MDDDRP+Cambria
constructed          | 440.99     | 468.04     | MDDDRP+Cambria
from                 | 501.08     | 468.04     | MDDDRP+Cambria
the                  | 36.85      | 480.14     | MDDDRP+Cambria
datum                | 54.65      | 480.14     | MDDDRP+Cambria
is                   | 88.10      | 480.14     | MDDDRP+Cambria
placed               | 98.41      | 480.14     | MDDDRP+Cambria
in                   | 131.73     | 480.14     | MDDDRP+Cambria
the                  | 143.45     | 480.14     | MDDDRP+Cambria
first                | 161.25     | 480.14     | MDDDRP+Cambria
compartment          | 183.96     | 480.14     | MDDDRP+Cambria
of                   | 251.02     | 480.14     | MDDDRP+Cambria
the                  | 262.49     | 480.14     | MDDDRP+Cambria
intersection         | 280.29     | 480.14     | MDDDRP+Cambria
plane                | 340.26     | 480.14     | MDDDRP+Cambria
indicator.           | 368.74     | 480.14     | MDDDRP+Cambria
The                  | 415.96     | 480.14     | MDDDRP+Cambria
symbols              | 436.51     | 480.14     | MDDDRP+Cambria
stand                | 478.58     | 480.14     | MDDDRP+Cambria
for:                 | 507.75     | 480.14     | MDDDRP+Cambria
parallel;            | 107.79     | 506.76     | XELMPT+Cambria
perpendicular;       | 107.79     | 530.92     | XELMPT+Cambria
at                   | 107.79     | 555.46     | MDDDRP+Cambria
a                    | 119.30     | 555.46     | MDDDRP+Cambria
defined              | 127.08     | 555.46     | MDDDRP+Cambria
angle;               | 165.47     | 555.46     | MDDDRP+Cambria
symmetrical          | 107.79     | 579.01     | MDDDRP+Cambria
to                   | 170.53     | 579.01     | MDDDRP+Cambria
(including).         | 182.68     | 579.01     | MDDDRP+Cambria
NOTE                 | 36.85      | 598.61     | MDDDRP+Cambria
The                  | 85.04      | 598.61     | MDDDRP+Cambria
symmetry             | 103.62     | 598.61     | MDDDRP+Cambria
symbol               | 150.78     | 598.61     | MDDDRP+Cambria
is                   | 184.62     | 598.61     | MDDDRP+Cambria
used                 | 193.85     | 598.61     | MDDDRP+Cambria
to                   | 216.49     | 598.61     | MDDDRP+Cambria
indicate             | 227.36     | 598.61     | MDDDRP+Cambria
that                 | 264.39     | 598.61     | MDDDRP+Cambria
the                  | 284.06     | 598.61     | MDDDRP+Cambria
intersection         | 300.14     | 598.61     | MDDDRP+Cambria
plane                | 354.95     | 598.61     | MDDDRP+Cambria
includes             | 380.84     | 598.61     | MDDDRP+Cambria
(is                  | 418.79     | 598.61     | MDDDRP+Cambria
symmetrical          | 431.78     | 598.61     | MDDDRP+Cambria
around)              | 489.03     | 598.61     | MDDDRP+Cambria
the                  | 36.85      | 609.61     | XELMPT+Cambria
datum.               | 53.14      | 609.61     | XELMPT+Cambria
The                  | 36.85      | 632.38     | MDDDRP+Cambria
letter               | 59.91      | 632.38     | MDDDRP+Cambria
identifying          | 91.11      | 632.38     | MDDDRP+Cambria
the                  | 148.28     | 632.38     | MDDDRP+Cambria
datum                | 168.58     | 632.38     | MDDDRP+Cambria
used                 | 204.54     | 632.38     | MDDDRP+Cambria
to                   | 232.01     | 632.38     | MDDDRP+Cambria
establish            | 246.63     | 632.38     | MDDDRP+Cambria
the                  | 294.40     | 632.38     | MDDDRP+Cambria
intersection         | 314.70     | 632.38     | MDDDRP+Cambria
plane                | 377.18     | 632.38     | MDDDRP+Cambria
is                   | 408.17     | 632.38     | MDDDRP+Cambria
placed               | 420.99     | 632.38     | MDDDRP+Cambria
in                   | 456.81     | 632.38     | MDDDRP+Cambria
the                  | 471.04     | 632.38     | MDDDRP+Cambria
second               | 491.34     | 632.38     | MDDDRP+Cambria
compartment          | 36.85      | 644.48     | XELMPT+Cambria
of                   | 103.94     | 644.48     | XELMPT+Cambria
the                  | 115.45     | 644.48     | XELMPT+Cambria
intersection         | 133.28     | 644.48     | XELMPT+Cambria
plane                | 193.28     | 644.48     | XELMPT+Cambria
indicator.           | 221.80     | 644.48     | XELMPT+Cambria
13.4                 | 36.85      | 648.06     | XELMPT+Cambria-Bold
Rules                | 65.19      | 648.06     | XELMPT+Cambria-Bold
For                  | 36.85      | 694.59     | MDDDRP+Cambria
geometrical          | 55.22      | 694.59     | MDDDRP+Cambria
specifications       | 114.40     | 694.59     | MDDDRP+Cambria
that                 | 182.62     | 694.59     | MDDDRP+Cambria
include              | 204.36     | 694.59     | MDDDRP+Cambria
intersection         | 241.20     | 694.59     | MDDDRP+Cambria
plane                | 301.20     | 694.59     | MDDDRP+Cambria
indicators,          | 329.72     | 694.59     | MDDDRP+Cambria
the                  | 382.57     | 694.59     | MDDDRP+Cambria
following            | 400.40     | 694.59     | MDDDRP+Cambria
applies.             | 447.42     | 694.59     | MDDDRP+Cambria
When                 | 36.85      | 715.90     | XELMPT+Cambria
the                  | 68.36      | 715.90     | XELMPT+Cambria
toleranced           | 87.26      | 715.90     | XELMPT+Cambria
feature              | 141.40     | 715.90     | XELMPT+Cambria
is                   | 179.50     | 715.90     | XELMPT+Cambria
a                    | 190.92     | 715.90     | XELMPT+Cambria
line                 | 199.77     | 715.90     | XELMPT+Cambria
on                   | 220.99     | 715.90     | XELMPT+Cambria
an                   | 236.36     | 715.90     | XELMPT+Cambria
integral             | 251.55     | 715.90     | XELMPT+Cambria
feature,             | 292.72     | 715.90     | XELMPT+Cambria
an                   | 333.10     | 715.90     | XELMPT+Cambria
intersection         | 348.30     | 715.90     | XELMPT+Cambria
plane                | 409.36     | 715.90     | XELMPT+Cambria
