Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
Annex                | 284.51     | 86.27      | XELMPT+Cambria-Bold
B                    | 334.35     | 86.27      | XELMPT+Cambria-Bold
(informative)        | 268.86     | 114.46     | XELMPT+Cambria
Explicit             | 102.59     | 139.07     | XELMPT+Cambria-Bold
and                  | 161.63     | 139.07     | XELMPT+Cambria-Bold
implicit             | 192.93     | 139.07     | XELMPT+Cambria-Bold
rules                | 253.59     | 139.07     | XELMPT+Cambria-Bold
for                  | 294.80     | 139.07     | XELMPT+Cambria-Bold
geometrical          | 320.02     | 139.07     | XELMPT+Cambria-Bold
tolerance            | 411.43     | 139.07     | XELMPT+Cambria-Bold
zones                | 484.43     | 139.07     | XELMPT+Cambria-Bold
B.1                  | 70.87      | 205.08     | XELMPT+Cambria-Bold
Tolerance            | 99.22      | 205.08     | XELMPT+Cambria-Bold
indicator            | 161.05     | 205.08     | XELMPT+Cambria-Bold
The                  | 70.87      | 228.28     | MDDDRP+Cambria
tolerance            | 93.12      | 228.28     | MDDDRP+Cambria
indicator            | 141.66     | 228.28     | MDDDRP+Cambria
for                  | 188.89     | 228.28     | MDDDRP+Cambria
a                    | 206.64     | 228.28     | MDDDRP+Cambria
geometrical          | 216.11     | 228.28     | MDDDRP+Cambria
specification        | 276.97     | 228.28     | MDDDRP+Cambria
defines              | 341.96     | 228.28     | MDDDRP+Cambria
the                  | 380.61     | 228.28     | MDDDRP+Cambria
toleranced           | 400.11     | 228.28     | MDDDRP+Cambria
feature,             | 454.85     | 228.28     | MDDDRP+Cambria
the                  | 495.85     | 228.28     | MDDDRP+Cambria
specified            | 515.35     | 228.28     | MDDDRP+Cambria
characteristic       | 70.87      | 240.38     | XELMPT+Cambria
and                  | 141.20     | 240.38     | XELMPT+Cambria
tolerances           | 163.34     | 240.38     | XELMPT+Cambria
zone(s)              | 217.00     | 240.38     | XELMPT+Cambria
and                  | 255.50     | 240.38     | XELMPT+Cambria
the                  | 277.65     | 240.38     | XELMPT+Cambria
