Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
Foreword             | 70.87      | 118.91     | HBOUZZ+Cambria-Bold
.................... | 120.70     | 139.79     | XELMPT+Cambria
vi                   | 549.13     | 118.91     | HBOUZZ+Cambria-Bold
Introduction         | 70.87      | 136.68     | XELMPT+Cambria-Bold
.................... | 135.47     | 157.56     | XELMPT+Cambria
vii                  | 545.67     | 136.68     | HBOUZZ+Cambria-Bold
1                    | 70.87      | 154.45     | HBOUZZ+Cambria-Bold
Scope                | 104.88     | 154.45     | HBOUZZ+Cambria-Bold
.................... | 135.46     | 175.32     | XELMPT+Cambria
1                    | 551.91     | 154.45     | HBOUZZ+Cambria-Bold
2                    | 70.87      | 172.22     | XELMPT+Cambria-Bold
Normative            | 104.88     | 172.22     | XELMPT+Cambria-Bold
references           | 160.34     | 172.22     | XELMPT+Cambria-Bold
.................... | 214.83     | 193.09     | XELMPT+Cambria
1                    | 551.91     | 172.22     | HBOUZZ+Cambria-Bold
3                    | 70.87      | 189.99     | XELMPT+Cambria-Bold
Terms                | 104.88     | 189.99     | XELMPT+Cambria-Bold
and                  | 139.11     | 189.99     | XELMPT+Cambria-Bold
definitions          | 160.63     | 189.99     | XELMPT+Cambria-Bold
.................... | 216.68     | 210.86     | XELMPT+Cambria
2                    | 551.91     | 189.99     | HBOUZZ+Cambria-Bold
4                    | 70.87      | 207.75     | XELMPT+Cambria-Bold
Basic                | 104.88     | 207.75     | XELMPT+Cambria-Bold
concepts             | 134.01     | 207.75     | XELMPT+Cambria-Bold
.................... | 179.76     | 228.63     | XELMPT+Cambria
4                    | 551.91     | 207.75     | HBOUZZ+Cambria-Bold
5                    | 70.87      | 225.52     | HBOUZZ+Cambria-Bold
Symbols              | 104.88     | 225.52     | HBOUZZ+Cambria-Bold
.................... | 148.39     | 246.40     | XELMPT+Cambria
6                    | 551.91     | 225.52     | HBOUZZ+Cambria-Bold
6                    | 70.87      | 243.29     | XELMPT+Cambria-Bold
Toleranced           | 104.88     | 243.29     | XELMPT+Cambria-Bold
features             | 163.76     | 243.29     | XELMPT+Cambria-Bold
.................... | 205.60     | 264.17     | XELMPT+Cambria
9                    | 551.91     | 243.29     | HBOUZZ+Cambria-Bold
7                    | 70.87      | 261.06     | XELMPT+Cambria-Bold
Tolerance            | 104.88     | 261.06     | XELMPT+Cambria-Bold
zones                | 157.19     | 261.06     | XELMPT+Cambria-Bold
.................... | 187.14     | 281.94     | XELMPT+Cambria
12                   | 545.39     | 261.06     | HBOUZZ+Cambria-Bold
7.1                  | 104.88     | 296.97     | XELMPT+Cambria
Tolerance            | 138.89     | 296.97     | XELMPT+Cambria
zone                 | 187.22     | 296.97     | XELMPT+Cambria
defaults             | 211.99     | 296.97     | XELMPT+Cambria
.................... | 249.90     | 294.04     | XELMPT+Cambria
7.2                  | 104.88     | 309.07     | XELMPT+Cambria
Tolerance            | 138.89     | 309.07     | XELMPT+Cambria
zones                | 187.22     | 309.07     | XELMPT+Cambria
of                   | 216.72     | 309.07     | XELMPT+Cambria
variable             | 228.32     | 309.07     | XELMPT+Cambria
width                | 268.75     | 309.07     | XELMPT+Cambria
.................... | 297.88     | 306.14     | XELMPT+Cambria
7.3                  | 104.88     | 321.17     | XELMPT+Cambria
Orientation          | 138.89     | 321.17     | XELMPT+Cambria
of                   | 195.46     | 321.17     | XELMPT+Cambria
tolerance            | 207.05     | 321.17     | XELMPT+Cambria
zones                | 253.38     | 321.17     | XELMPT+Cambria
for                  | 282.88     | 321.17     | XELMPT+Cambria
derived              | 298.88     | 321.17     | XELMPT+Cambria
features             | 336.95     | 321.17     | XELMPT+Cambria
.................... | 375.40     | 318.24     | XELMPT+Cambria
7.4                  | 104.88     | 333.27     | MDDDRP+Cambria
Cylindrical          | 138.89     | 333.27     | MDDDRP+Cambria
and                  | 191.84     | 333.27     | MDDDRP+Cambria
spherical            | 211.87     | 333.27     | MDDDRP+Cambria
tolerance            | 257.39     | 333.27     | MDDDRP+Cambria
zones                | 303.72     | 333.27     | MDDDRP+Cambria
.................... | 331.11     | 330.34     | XELMPT+Cambria
8                    | 70.87      | 327.23     | XELMPT+Cambria-Bold
Geometrical          | 104.88     | 327.23     | XELMPT+Cambria-Bold
specification        | 169.11     | 327.23     | XELMPT+Cambria-Bold
indication           | 236.05     | 327.23     | XELMPT+Cambria-Bold
.................... | 288.66     | 348.11     | XELMPT+Cambria
14                   | 545.39     | 327.23     | HBOUZZ+Cambria-Bold
8.1                  | 104.88     | 363.14     | XELMPT+Cambria
General              | 138.89     | 363.14     | XELMPT+Cambria
.................... | 176.07     | 360.21     | XELMPT+Cambria
8.2                  | 104.88     | 375.24     | XELMPT+Cambria
Tolerance            | 138.89     | 375.24     | XELMPT+Cambria
indicator            | 187.22     | 375.24     | XELMPT+Cambria
.................... | 231.44     | 372.31     | XELMPT+Cambria
8.2.1                | 138.90     | 387.34     | MDDDRP+Cambria
Symbol               | 178.59     | 387.34     | MDDDRP+Cambria
section              | 215.78     | 387.34     | MDDDRP+Cambria
.................... | 249.90     | 384.41     | XELMPT+Cambria
8.2.2                | 138.90     | 399.44     | XELMPT+Cambria
Zone,                | 178.59     | 399.44     | XELMPT+Cambria
feature              | 206.52     | 399.44     | XELMPT+Cambria
and                  | 242.43     | 399.44     | XELMPT+Cambria
characteristic       | 262.46     | 399.44     | XELMPT+Cambria
section              | 328.71     | 399.44     | XELMPT+Cambria
.................... | 362.48     | 396.51     | XELMPT+Cambria
8.2.3                | 138.90     | 411.54     | XELMPT+Cambria
Datum                | 178.59     | 411.54     | XELMPT+Cambria
section............. | 212.60     | 408.61     | XELMPT+Cambria
8.3                  | 104.88     | 423.64     | XELMPT+Cambria
Plane                | 138.89     | 423.64     | XELMPT+Cambria
and                  | 167.42     | 423.64     | XELMPT+Cambria
feature              | 187.45     | 423.64     | XELMPT+Cambria
indicators           | 223.37     | 423.64     | XELMPT+Cambria
.................... | 272.05     | 420.71     | XELMPT+Cambria
8.4                  | 104.88     | 435.74     | XELMPT+Cambria
Indications          | 138.89     | 435.74     | XELMPT+Cambria
adjacent             | 193.88     | 435.74     | XELMPT+Cambria
to                   | 236.14     | 435.74     | XELMPT+Cambria
the                  | 248.04     | 435.74     | XELMPT+Cambria
tolerance            | 265.62     | 435.74     | XELMPT+Cambria
indicator            | 311.94     | 435.74     | XELMPT+Cambria
.................... | 355.10     | 432.81     | XELMPT+Cambria
8.4.1                | 138.90     | 447.84     | XELMPT+Cambria
General............. | 178.59     | 444.91     | XELMPT+Cambria
8.4.2                | 138.90     | 459.94     | MDDDRP+Cambria
Toleranced           | 178.59     | 459.94     | MDDDRP+Cambria
feature              | 233.02     | 459.94     | MDDDRP+Cambria
identifiers          | 268.92     | 459.94     | MDDDRP+Cambria
.................... | 318.19     | 457.01     | XELMPT+Cambria
8.4.3                | 138.90     | 472.04     | XELMPT+Cambria
Patterns             | 178.59     | 472.04     | XELMPT+Cambria
.................... | 218.52     | 469.11     | XELMPT+Cambria
8.4.4                | 138.90     | 484.14     | XELMPT+Cambria
Adjacent             | 178.59     | 484.14     | XELMPT+Cambria
indication           | 222.25     | 484.14     | XELMPT+Cambria
sequence             | 272.00     | 484.14     | XELMPT+Cambria
.................... | 316.35     | 481.21     | XELMPT+Cambria
8.5                  | 104.88     | 496.24     | XELMPT+Cambria
Stacked              | 138.89     | 496.24     | XELMPT+Cambria
tolerance            | 177.77     | 496.24     | XELMPT+Cambria
indications          | 224.09     | 496.24     | XELMPT+Cambria
.................... | 277.58     | 493.31     | XELMPT+Cambria
8.6                  | 104.88     | 508.34     | XELMPT+Cambria
Indication           | 138.89     | 508.34     | XELMPT+Cambria
of                   | 189.15     | 508.34     | XELMPT+Cambria
drawing              | 200.75     | 508.34     | XELMPT+Cambria
defaults             | 242.00     | 508.34     | XELMPT+Cambria
.................... | 281.28     | 505.41     | XELMPT+Cambria
9                    | 70.87      | 502.30     | XELMPT+Cambria-Bold
Supplementary        | 104.88     | 502.30     | XELMPT+Cambria-Bold
indications          | 184.96     | 502.30     | XELMPT+Cambria-Bold
.................... | 242.52     | 523.18     | XELMPT+Cambria
39                   | 545.39     | 502.30     | HBOUZZ+Cambria-Bold
9.1                  | 104.88     | 538.21     | XELMPT+Cambria
Indications          | 138.89     | 538.21     | XELMPT+Cambria
of                   | 193.88     | 538.21     | XELMPT+Cambria
a                    | 205.48     | 538.21     | XELMPT+Cambria
compound             | 213.26     | 538.21     | XELMPT+Cambria
or                   | 265.80     | 538.21     | XELMPT+Cambria
restricted           | 278.62     | 538.21     | XELMPT+Cambria
toleranced           | 326.79     | 538.21     | XELMPT+Cambria
feature              | 379.21     | 538.21     | XELMPT+Cambria
.................... | 414.17     | 535.28     | XELMPT+Cambria
9.1.1                | 138.90     | 550.31     | XELMPT+Cambria
General............. | 178.59     | 547.38     | XELMPT+Cambria
