Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
Table                | 175.41     | 85.88      | XELMPT+Cambria-Bold
6                    | 206.17     | 85.88      | XELMPT+Cambria-Bold
—                    | 215.10     | 85.88      | XELMPT+Cambria-Bold
Symbols              | 228.52     | 85.88      | XELMPT+Cambria-Bold
for                  | 273.95     | 85.88      | XELMPT+Cambria-Bold
default              | 291.23     | 85.88      | XELMPT+Cambria-Bold
filtering            | 329.70     | 85.88      | XELMPT+Cambria-Bold
and                  | 374.39     | 85.88      | XELMPT+Cambria-Bold
association          | 396.02     | 85.88      | XELMPT+Cambria-Bold
Symbol               | 149.23     | 107.67     | HBOUZZ+Cambria-Bold
Meaning              | 276.20     | 107.67     | XELMPT+Cambria-Bold
Scope                | 407.71     | 107.67     | XELMPT+Cambria-Bold
of                   | 437.03     | 107.67     | XELMPT+Cambria-Bold
default              | 448.17     | 107.67     | XELMPT+Cambria-Bold
FC                   | 161.00     | 144.48     | XELMPT+Cambria
Form                 | 238.78     | 144.48     | XELMPT+Cambria
association          | 264.21     | 144.48     | XELMPT+Cambria
criterion            | 315.50     | 144.48     | XELMPT+Cambria
Form                 | 401.56     | 144.48     | MDDDRP+Cambria
specifications       | 426.98     | 144.48     | MDDDRP+Cambria
TF                   | 160.78     | 165.15     | XELMPT+Cambria
Toleranced           | 243.38     | 165.15     | MDDDRP+Cambria
feature              | 293.65     | 165.15     | MDDDRP+Cambria
filter               | 327.57     | 165.15     | MDDDRP+Cambria
All                  | 380.30     | 159.65     | XELMPT+Cambria
form,                | 394.75     | 159.65     | XELMPT+Cambria
location,            | 420.27     | 159.65     | XELMPT+Cambria
orientation          | 459.67     | 159.65     | XELMPT+Cambria
and                  | 389.00     | 170.65     | MDDDRP+Cambria
runout               | 407.42     | 170.65     | MDDDRP+Cambria
specifications       | 439.54     | 170.65     | MDDDRP+Cambria
TFF                  | 158.00     | 185.82     | XELMPT+Cambria
Toleranced           | 229.55     | 185.82     | MDDDRP+Cambria
feature,             | 279.83     | 185.82     | MDDDRP+Cambria
form,                | 315.87     | 185.82     | MDDDRP+Cambria
filter               | 341.39     | 185.82     | MDDDRP+Cambria
Form                 | 401.56     | 185.82     | MDDDRP+Cambria
specifications       | 426.98     | 185.82     | MDDDRP+Cambria
Toleranced           | 227.62     | 200.99     | XELMPT+Cambria
feature,             | 277.90     | 200.99     | XELMPT+Cambria
orientation,         | 313.94     | 200.99     | XELMPT+Cambria
TFO                  | 157.47     | 206.49     | XELMPT+Cambria
Orientation          | 388.01     | 206.49     | MDDDRP+Cambria
specifications       | 440.54     | 206.49     | MDDDRP+Cambria
filter               | 285.47     | 211.99     | MDDDRP+Cambria
TFL                  | 158.00     | 227.16     | XELMPT+Cambria
Toleranced           | 222.62     | 227.16     | MDDDRP+Cambria
feature,             | 272.89     | 227.16     | MDDDRP+Cambria
location,            | 308.93     | 227.16     | MDDDRP+Cambria
filter               | 348.33     | 227.16     | MDDDRP+Cambria
Location             | 394.21     | 227.16     | MDDDRP+Cambria
specifications       | 434.34     | 227.16     | MDDDRP+Cambria
EXAMPLE              | 70.87      | 248.12     | XELMPT+Cambria
1                    | 117.11     | 248.12     | XELMPT+Cambria
ISO                  | 137.76     | 226.48     | XELMPT+Cambria-Bold
1101                 | 157.28     | 226.48     | XELMPT+Cambria-Bold
TF:                  | 183.91     | 226.48     | XELMPT+Cambria-Bold
G0,8-×50-            | 202.27     | 226.48     | XELMPT+Cambria-Bold
specifies            | 251.39     | 248.12     | MDDDRP+Cambria
that                 | 293.28     | 248.12     | MDDDRP+Cambria
the                  | 314.62     | 248.12     | MDDDRP+Cambria
default              | 332.36     | 248.12     | MDDDRP+Cambria
filtering            | 366.42     | 248.12     | MDDDRP+Cambria
is                   | 405.68     | 248.12     | MDDDRP+Cambria
a                    | 416.58     | 248.12     | MDDDRP+Cambria
Gaussian             | 425.11     | 248.12     | MDDDRP+Cambria
long-pass            | 467.86     | 248.12     | MDDDRP+Cambria
filter               | 512.83     | 248.12     | MDDDRP+Cambria
with                 | 538.24     | 248.12     | MDDDRP+Cambria
0,8                  | 70.87      | 259.12     | MDDDRP+Cambria
mm                   | 86.44      | 259.12     | MDDDRP+Cambria
cut-off              | 105.47     | 259.12     | MDDDRP+Cambria
for                  | 136.09     | 259.12     | MDDDRP+Cambria
open                 | 150.81     | 259.12     | MDDDRP+Cambria
profiles             | 174.38     | 259.12     | MDDDRP+Cambria
and                  | 210.16     | 259.12     | MDDDRP+Cambria
50                   | 228.57     | 259.12     | MDDDRP+Cambria
UPR                  | 241.82     | 259.12     | MDDDRP+Cambria
for                  | 262.45     | 259.12     | MDDDRP+Cambria
closed               | 277.17     | 259.12     | MDDDRP+Cambria
profiles.            | 306.86     | 259.12     | MDDDRP+Cambria
The                  | 70.87      | 281.90     | MDDDRP+Cambria
drawing              | 91.87      | 281.90     | MDDDRP+Cambria
default              | 134.70     | 281.90     | MDDDRP+Cambria
for                  | 170.71     | 281.90     | MDDDRP+Cambria
form                 | 187.22     | 281.90     | MDDDRP+Cambria
association          | 213.17     | 281.90     | MDDDRP+Cambria
can                  | 269.54     | 281.90     | MDDDRP+Cambria
be                   | 289.19     | 281.90     | MDDDRP+Cambria
indicated            | 303.48     | 281.90     | MDDDRP+Cambria
near                 | 350.75     | 281.90     | MDDDRP+Cambria
the                  | 375.24     | 281.90     | MDDDRP+Cambria
title                | 393.49     | 281.90     | MDDDRP+Cambria
block,               | 415.81     | 281.90     | MDDDRP+Cambria
by                   | 446.65     | 281.90     | MDDDRP+Cambria
indicating           | 461.03     | 281.90     | MDDDRP+Cambria
“ISO                 | 511.72     | 281.90     | MDDDRP+Cambria
1101                 | 535.14     | 281.90     | MDDDRP+Cambria
FC”:                 | 70.87      | 294.00     | MDDDRP+Cambria
followed             | 91.46      | 294.00     | MDDDRP+Cambria
by                   | 134.01     | 294.00     | MDDDRP+Cambria
the                  | 147.22     | 294.00     | MDDDRP+Cambria
symbol               | 164.30     | 294.00     | MDDDRP+Cambria
for                  | 200.77     | 294.00     | MDDDRP+Cambria
the                  | 216.11     | 294.00     | MDDDRP+Cambria
default              | 233.19     | 294.00     | MDDDRP+Cambria
association          | 268.03     | 294.00     | MDDDRP+Cambria
from                 | 323.23     | 294.00     | MDDDRP+Cambria
Table                | 348.19     | 294.00     | XELMPT+Cambria
D.1                  | 375.97     | 294.00     | XELMPT+Cambria
.                    | 390.55     | 294.00     | MDDDRP+Cambria
FC                   | 394.47     | 294.00     | MDDDRP+Cambria
stands               | 408.27     | 294.00     | MDDDRP+Cambria
for                  | 441.63     | 294.00     | MDDDRP+Cambria
“form                | 456.96     | 294.00     | MDDDRP+Cambria
characteristic”.     | 486.30     | 294.00     | MDDDRP+Cambria
EXAMPLE              | 70.87      | 312.75     | XELMPT+Cambria
2                    | 117.11     | 312.75     | XELMPT+Cambria
ISO                  | 137.76     | 291.11     | HBOUZZ+Cambria-Bold
1101                 | 157.86     | 291.11     | HBOUZZ+Cambria-Bold
FC:                  | 185.06     | 291.11     | HBOUZZ+Cambria-Bold
G                    | 203.47     | 291.11     | HBOUZZ+Cambria-Bold
specifies            | 214.14     | 312.75     | MDDDRP+Cambria
that                 | 256.61     | 312.75     | MDDDRP+Cambria
the                  | 278.52     | 312.75     | MDDDRP+Cambria
default              | 296.83     | 312.75     | MDDDRP+Cambria
association          | 331.46     | 312.75     | MDDDRP+Cambria
criterion            | 384.78     | 312.75     | MDDDRP+Cambria
for                  | 427.40     | 312.75     | MDDDRP+Cambria
form                 | 444.13     | 312.75     | MDDDRP+Cambria
is                   | 469.49     | 312.75     | MDDDRP+Cambria
the                  | 480.95     | 312.75     | MDDDRP+Cambria
least                | 499.26     | 312.75     | MDDDRP+Cambria
squares              | 524.22     | 312.75     | MDDDRP+Cambria
(Gaussian)           | 70.87      | 323.75     | XELMPT+Cambria
feature.             | 118.95     | 323.75     | XELMPT+Cambria
9                    | 70.87      | 333.44     | XELMPT+Cambria-Bold
