Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
filter               | 70.87      | 85.66      | MDDDRP+Cambria
is                   | 97.04      | 85.66      | MDDDRP+Cambria
the                  | 107.44     | 85.66      | MDDDRP+Cambria
convex               | 125.32     | 85.66      | MDDDRP+Cambria
hull                 | 160.71     | 85.66      | MDDDRP+Cambria
filter.              | 181.53     | 85.66      | MDDDRP+Cambria
The                  | 209.39     | 85.66      | MDDDRP+Cambria
filtered             | 230.03     | 85.66      | MDDDRP+Cambria
surface              | 267.91     | 85.66      | MDDDRP+Cambria
shall                | 305.48     | 85.66      | MDDDRP+Cambria
be                   | 330.57     | 85.66      | MDDDRP+Cambria
contained            | 344.48     | 85.66      | MDDDRP+Cambria
between              | 394.21     | 85.66      | MDDDRP+Cambria
two                  | 437.77     | 85.66      | MDDDRP+Cambria
planes               | 458.72     | 85.66      | MDDDRP+Cambria
0,2                  | 492.10     | 85.66      | MDDDRP+Cambria
mm                   | 509.19     | 85.66      | MDDDRP+Cambria
apart,               | 530.13     | 85.66      | MDDDRP+Cambria
in                   | 70.87      | 97.76      | MDDDRP+Cambria
the                  | 82.61      | 97.76      | MDDDRP+Cambria
theoretically        | 100.45     | 97.76      | MDDDRP+Cambria
correct              | 163.78     | 97.76      | MDDDRP+Cambria
orientation          | 200.79     | 97.76      | MDDDRP+Cambria
and                  | 256.58     | 97.76      | MDDDRP+Cambria
location             | 276.75     | 97.76      | MDDDRP+Cambria
relative             | 317.34     | 97.76      | MDDDRP+Cambria
to                   | 356.21     | 97.76      | MDDDRP+Cambria
datum                | 368.35     | 97.76      | MDDDRP+Cambria
D.                   | 401.84     | 97.76      | MDDDRP+Cambria
Figure               | 189.23     | 265.76     | XELMPT+Cambria-Bold
E.18                 | 225.17     | 265.76     | XELMPT+Cambria-Bold
—                    | 249.40     | 265.76     | XELMPT+Cambria-Bold
Example              | 262.82     | 265.76     | XELMPT+Cambria-Bold
of                   | 309.33     | 265.76     | XELMPT+Cambria-Bold
a                    | 321.54     | 265.76     | XELMPT+Cambria-Bold
position             | 329.85     | 265.76     | XELMPT+Cambria-Bold
specification        | 374.27     | 265.76     | XELMPT+Cambria-Bold
