Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
a)                   | 143.90     | 218.26     | XELMPT+Cambria-Bold
Minimax              | 156.22     | 218.26     | XELMPT+Cambria-Bold
(Chebyshev)          | 203.86     | 218.26     | XELMPT+Cambria-Bold
association          | 268.91     | 218.26     | XELMPT+Cambria-Bold
without              | 329.20     | 218.26     | XELMPT+Cambria-Bold
additional           | 371.79     | 218.26     | XELMPT+Cambria-Bold
constraints          | 426.80     | 218.26     | XELMPT+Cambria-Bold
b)                   | 110.44     | 350.56     | XELMPT+Cambria-Bold
Minimax              | 123.32     | 350.56     | XELMPT+Cambria-Bold
(Chebyshev)          | 170.96     | 350.56     | XELMPT+Cambria-Bold
association          | 236.01     | 350.56     | XELMPT+Cambria-Bold
with                 | 296.29     | 350.56     | XELMPT+Cambria-Bold
the                  | 322.19     | 350.56     | XELMPT+Cambria-Bold
constraint           | 341.32     | 350.56     | XELMPT+Cambria-Bold
external             | 396.90     | 350.56     | XELMPT+Cambria-Bold
to                   | 442.84     | 350.56     | XELMPT+Cambria-Bold
the                  | 455.66     | 350.56     | XELMPT+Cambria-Bold
material             | 474.80     | 350.56     | XELMPT+Cambria-Bold
c)                   | 112.01     | 478.31     | XELMPT+Cambria-Bold
Minimax              | 123.62     | 478.31     | XELMPT+Cambria-Bold
(Chebyshev)          | 171.26     | 478.31     | XELMPT+Cambria-Bold
association          | 236.31     | 478.31     | XELMPT+Cambria-Bold
with                 | 296.59     | 478.31     | XELMPT+Cambria-Bold
the                  | 322.49     | 478.31     | XELMPT+Cambria-Bold
constraint           | 341.61     | 478.31     | XELMPT+Cambria-Bold
internal             | 397.20     | 478.31     | XELMPT+Cambria-Bold
to                   | 441.28     | 478.31     | XELMPT+Cambria-Bold
the                  | 454.10     | 478.31     | XELMPT+Cambria-Bold
material             | 473.23     | 478.31     | XELMPT+Cambria-Bold
a                    | 70.87      | 503.26     | XELMPT+Cambria
Toleranced           | 90.76      | 508.19     | XELMPT+Cambria
feature.             | 140.24     | 508.19     | XELMPT+Cambria
b                    | 70.87      | 518.13     | XELMPT+Cambria
Minimized            | 90.76      | 523.05     | XELMPT+Cambria
maximum              | 138.33     | 523.05     | XELMPT+Cambria
distances.           | 183.50     | 523.05     | XELMPT+Cambria
c                    | 70.87      | 532.99     | XELMPT+Cambria
Minimax              | 90.76      | 537.92     | MDDDRP+Cambria
