Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
a)                   | 145.50     | 309.09     | HBOUZZ+Cambria-Bold
2D                   | 157.84     | 309.09     | HBOUZZ+Cambria-Bold
b)                   | 389.06     | 309.09     | HBOUZZ+Cambria-Bold
3D                   | 401.94     | 309.09     | HBOUZZ+Cambria-Bold
Figure               | 190.14     | 338.91     | XELMPT+Cambria-Bold
146                  | 226.08     | 338.91     | XELMPT+Cambria-Bold
—                    | 247.63     | 338.91     | XELMPT+Cambria-Bold
Angularity           | 261.05     | 338.91     | XELMPT+Cambria-Bold
indication           | 319.07     | 338.91     | XELMPT+Cambria-Bold
NOTE                 | 36.85      | 367.49     | MDDDRP+Cambria
The                  | 85.04      | 367.49     | MDDDRP+Cambria
rotation             | 104.41     | 367.49     | MDDDRP+Cambria
of                   | 142.88     | 367.49     | MDDDRP+Cambria
the                  | 153.96     | 367.49     | MDDDRP+Cambria
tolerance            | 170.82     | 367.49     | MDDDRP+Cambria
zone                 | 214.35     | 367.49     | MDDDRP+Cambria
around               | 237.48     | 367.49     | MDDDRP+Cambria
the                  | 271.75     | 367.49     | MDDDRP+Cambria
datum                | 288.61     | 367.49     | MDDDRP+Cambria
axis                 | 319.79     | 367.49     | MDDDRP+Cambria
is                   | 340.22     | 367.49     | MDDDRP+Cambria
not                  | 350.24     | 367.49     | MDDDRP+Cambria
defined              | 367.28     | 367.49     | MDDDRP+Cambria
with                 | 403.00     | 367.49     | MDDDRP+Cambria
the                  | 425.96     | 367.49     | MDDDRP+Cambria
indication           | 442.82     | 367.49     | MDDDRP+Cambria
given                | 489.52     | 367.49     | MDDDRP+Cambria
in                   | 515.89     | 367.49     | MDDDRP+Cambria
Figure               | 36.85      | 378.49     | XELMPT+Cambria
146                  | 68.13      | 378.49     | XELMPT+Cambria
,                    | 83.93      | 378.49     | MDDDRP+Cambria
only                 | 88.18      | 378.49     | MDDDRP+Cambria
the                  | 109.30     | 378.49     | MDDDRP+Cambria
direction            | 125.60     | 378.49     | MDDDRP+Cambria
is                   | 167.90     | 378.49     | MDDDRP+Cambria
specified.           | 177.35     | 378.49     | MDDDRP+Cambria
The                  | 36.85      | 401.27     | MDDDRP+Cambria
tolerance            | 57.10      | 401.27     | MDDDRP+Cambria
zone                 | 103.63     | 401.27     | MDDDRP+Cambria
defined              | 127.97     | 401.27     | MDDDRP+Cambria
by                   | 166.01     | 401.27     | MDDDRP+Cambria
the                  | 179.63     | 401.27     | MDDDRP+Cambria
specification        | 197.13     | 401.27     | MDDDRP+Cambria
in                   | 260.13     | 401.27     | MDDDRP+Cambria
Figure               | 271.53     | 401.27     | XELMPT+Cambria
146                  | 305.45     | 401.27     | XELMPT+Cambria
is                   | 324.56     | 401.27     | MDDDRP+Cambria
limited              | 334.58     | 401.27     | MDDDRP+Cambria
by                   | 370.81     | 401.27     | MDDDRP+Cambria
two                  | 384.43     | 401.27     | MDDDRP+Cambria
parallel             | 404.99     | 401.27     | MDDDRP+Cambria
planes               | 443.55     | 401.27     | MDDDRP+Cambria
a                    | 476.54     | 401.27     | MDDDRP+Cambria
distance             | 484.00     | 401.27     | MDDDRP+Cambria
t                    | 36.85      | 413.37     | HBOUZZ+Cambria-Italic
apart                | 43.07      | 413.37     | MDDDRP+Cambria
and                  | 71.22      | 413.37     | MDDDRP+Cambria
inclined             | 91.39      | 413.37     | MDDDRP+Cambria
at                   | 131.90     | 413.37     | MDDDRP+Cambria
the                  | 143.41     | 413.37     | MDDDRP+Cambria
specified            | 161.24     | 413.37     | MDDDRP+Cambria
angle                | 206.75     | 413.37     | MDDDRP+Cambria
to                   | 234.86     | 413.37     | MDDDRP+Cambria
the                  | 247.01     | 413.37     | MDDDRP+Cambria
datum,               | 264.84     | 413.37     | MDDDRP+Cambria
see                  | 300.67     | 413.37     | MDDDRP+Cambria
Figure               | 318.69     | 413.37     | XELMPT+Cambria
147.                 | 352.93     | 413.37     | XELMPT+Cambria
a                    | 36.85      | 582.78     | XELMPT+Cambria
Datum                | 56.74      | 587.71     | XELMPT+Cambria
A.                   | 87.66      | 587.71     | XELMPT+Cambria
Figure               | 136.96     | 619.21     | XELMPT+Cambria-Bold
147                  | 172.91     | 619.21     | XELMPT+Cambria-Bold
—                    | 193.84     | 619.21     | XELMPT+Cambria-Bold
Definition           | 207.26     | 619.21     | XELMPT+Cambria-Bold
of                   | 261.61     | 619.21     | XELMPT+Cambria-Bold
the                  | 273.82     | 619.21     | XELMPT+Cambria-Bold
angularity           | 292.95     | 619.21     | XELMPT+Cambria-Bold
tolerance            | 349.56     | 619.21     | XELMPT+Cambria-Bold
zone                 | 400.35     | 619.21     | XELMPT+Cambria-Bold
17.12.5              | 36.85      | 655.40     | XELMPT+Cambria-Bold
Angularity           | 75.12      | 655.40     | XELMPT+Cambria-Bold
specification        | 131.30     | 655.40     | XELMPT+Cambria-Bold
for                  | 198.24     | 655.40     | XELMPT+Cambria-Bold
a                    | 215.58     | 655.40     | XELMPT+Cambria-Bold
planar               | 223.88     | 655.40     | XELMPT+Cambria-Bold
surface              | 259.74     | 655.40     | XELMPT+Cambria-Bold
related              | 299.31     | 655.40     | XELMPT+Cambria-Bold
to                   | 338.04     | 655.40     | XELMPT+Cambria-Bold
a                    | 350.58     | 655.40     | XELMPT+Cambria-Bold
datum                | 358.89     | 655.40     | XELMPT+Cambria-Bold
plane                | 394.13     | 655.40     | XELMPT+Cambria-Bold
In                   | 36.85      | 677.20     | XELMPT+Cambria
Figure               | 49.16      | 677.20     | XELMPT+Cambria
148,                 | 83.52      | 677.20     | XELMPT+Cambria
the                  | 105.49     | 677.20     | XELMPT+Cambria
extracted            | 123.44     | 677.20     | XELMPT+Cambria
surface              | 171.89     | 677.20     | XELMPT+Cambria
shall                | 209.53     | 677.20     | XELMPT+Cambria
be                   | 234.68     | 677.20     | XELMPT+Cambria
contained            | 248.67     | 677.20     | XELMPT+Cambria
between              | 298.46     | 677.20     | XELMPT+Cambria
two                  | 342.09     | 677.20     | XELMPT+Cambria
parallel             | 363.09     | 677.20     | XELMPT+Cambria
planes               | 402.10     | 677.20     | XELMPT+Cambria
0,08                 | 435.54     | 677.20     | XELMPT+Cambria
apart                | 458.66     | 677.20     | XELMPT+Cambria
that                 | 486.94     | 677.20     | XELMPT+Cambria
are                  | 508.79     | 677.20     | XELMPT+Cambria
inclined             | 36.85      | 689.30     | MDDDRP+Cambria
