Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
as                   | 70.87      | 109.69     | XELMPT+Cambria
referring            | 83.57      | 109.69     | XELMPT+Cambria
to                   | 128.22     | 109.69     | XELMPT+Cambria
the                  | 140.30     | 109.69     | XELMPT+Cambria
outside              | 158.06     | 109.69     | XELMPT+Cambria
diameter             | 195.55     | 109.69     | XELMPT+Cambria
of                   | 240.75     | 109.69     | XELMPT+Cambria
the                  | 252.52     | 109.69     | XELMPT+Cambria
shaft                | 270.29     | 109.69     | XELMPT+Cambria
as                   | 296.11     | 109.69     | XELMPT+Cambria
the                  | 308.82     | 109.69     | XELMPT+Cambria
datum                | 326.58     | 109.69     | XELMPT+Cambria
feature.             | 359.61     | 109.69     | XELMPT+Cambria
In                   | 397.96     | 109.69     | XELMPT+Cambria
other                | 410.27     | 109.69     | XELMPT+Cambria
countries            | 438.42     | 109.69     | XELMPT+Cambria
and                  | 485.35     | 109.69     | XELMPT+Cambria
companies,           | 505.57     | 109.69     | XELMPT+Cambria
the                  | 70.87      | 121.79     | MDDDRP+Cambria
figures              | 88.44      | 121.79     | MDDDRP+Cambria
were                 | 123.25     | 121.79     | MDDDRP+Cambria
interpreted          | 149.17     | 121.79     | MDDDRP+Cambria
as                   | 205.29     | 121.79     | MDDDRP+Cambria
referring            | 217.81     | 121.79     | MDDDRP+Cambria
to                   | 262.28     | 121.79     | MDDDRP+Cambria
the                  | 274.16     | 121.79     | MDDDRP+Cambria
generatrix           | 291.74     | 121.79     | MDDDRP+Cambria
as                   | 342.84     | 121.79     | MDDDRP+Cambria
the                  | 355.36     | 121.79     | MDDDRP+Cambria
datum                | 372.94     | 121.79     | MDDDRP+Cambria
feature.             | 405.77     | 121.79     | MDDDRP+Cambria
Figure               | 285.23     | 228.11     | XELMPT+Cambria-Bold
A.12                 | 321.17     | 228.11     | XELMPT+Cambria-Bold
Figure               | 285.25     | 390.93     | XELMPT+Cambria-Bold
A.13                 | 321.20     | 390.93     | XELMPT+Cambria-Bold
Formally,            | 70.87      | 445.25     | MDDDRP+Cambria
the                  | 118.40     | 445.25     | MDDDRP+Cambria
syntax               | 136.86     | 445.25     | MDDDRP+Cambria
of                   | 172.11     | 445.25     | MDDDRP+Cambria
the                  | 184.26     | 445.25     | MDDDRP+Cambria
indications          | 202.72     | 445.25     | MDDDRP+Cambria
is                   | 258.55     | 445.25     | MDDDRP+Cambria
not                  | 269.54     | 445.25     | MDDDRP+Cambria
correct.             | 288.19     | 445.25     | MDDDRP+Cambria
If                   | 328.48     | 445.25     | MDDDRP+Cambria
it                   | 338.52     | 445.25     | MDDDRP+Cambria
is                   | 348.36     | 445.25     | MDDDRP+Cambria
