Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
feature.             | 70.87      | 109.69     | MDDDRP+Cambria
The                  | 110.93     | 109.69     | MDDDRP+Cambria
median               | 132.18     | 109.69     | MDDDRP+Cambria
plane                | 170.91     | 109.69     | MDDDRP+Cambria
is                   | 200.10     | 109.69     | MDDDRP+Cambria
fixed                | 211.12     | 109.69     | MDDDRP+Cambria
by                   | 238.14     | 109.69     | MDDDRP+Cambria
theoretically        | 252.77     | 109.69     | MDDDRP+Cambria
exact                | 316.77     | 109.69     | MDDDRP+Cambria
dimensions           | 345.07     | 109.69     | MDDDRP+Cambria
with                 | 402.84     | 109.69     | MDDDRP+Cambria
respect              | 428.01     | 109.69     | MDDDRP+Cambria
to                   | 466.64     | 109.69     | MDDDRP+Cambria
datums               | 479.45     | 109.69     | MDDDRP+Cambria
A                    | 518.50     | 109.69     | MDDDRP+Cambria
and                  | 528.45     | 109.69     | MDDDRP+Cambria
B.                   | 549.28     | 109.69     | MDDDRP+Cambria
The                  | 70.87      | 121.79     | MDDDRP+Cambria
specification        | 91.45      | 121.79     | MDDDRP+Cambria
applies              | 154.77     | 121.79     | MDDDRP+Cambria
in                   | 190.86     | 121.79     | MDDDRP+Cambria
one                  | 202.60     | 121.79     | MDDDRP+Cambria
direction            | 222.19     | 121.79     | MDDDRP+Cambria
only,                | 268.34     | 121.79     | MDDDRP+Cambria
see                  | 293.05     | 121.79     | MDDDRP+Cambria
Figure               | 311.07     | 121.79     | XELMPT+Cambria
158.                 | 344.78     | 121.79     | XELMPT+Cambria
a                    | 70.87      | 279.03     | XELMPT+Cambria
Datum                | 90.76      | 283.96     | XELMPT+Cambria
A.                   | 121.68     | 283.96     | XELMPT+Cambria
b                    | 70.87      | 293.90     | XELMPT+Cambria
Datum                | 90.76      | 298.83     | XELMPT+Cambria
B.                   | 121.68     | 298.83     | XELMPT+Cambria
Figure               | 176.64     | 306.30     | XELMPT+Cambria-Bold
158                  | 212.58     | 306.30     | XELMPT+Cambria-Bold
—                    | 234.38     | 306.30     | XELMPT+Cambria-Bold
Definition           | 247.80     | 306.30     | XELMPT+Cambria-Bold
of                   | 302.16     | 306.30     | XELMPT+Cambria-Bold
the                  | 314.37     | 306.30     | XELMPT+Cambria-Bold
position             | 333.50     | 306.30     | XELMPT+Cambria-Bold
tolerance            | 377.91     | 306.30     | XELMPT+Cambria-Bold
zone                 | 428.70     | 306.30     | XELMPT+Cambria-Bold
In                   | 70.87      | 360.63     | XELMPT+Cambria
Figure               | 84.66      | 360.63     | XELMPT+Cambria
159                  | 120.14     | 360.63     | XELMPT+Cambria
,                    | 137.29     | 360.63     | MDDDRP+Cambria
for                  | 143.57     | 360.63     | MDDDRP+Cambria
each                 | 161.25     | 360.63     | MDDDRP+Cambria
of                   | 187.06     | 360.63     | MDDDRP+Cambria
the                  | 200.17     | 360.63     | MDDDRP+Cambria
eight                | 219.60     | 360.63     | MDDDRP+Cambria
toleranced           | 247.41     | 360.63     | MDDDRP+Cambria
features             | 302.08     | 360.63     | MDDDRP+Cambria
considered           | 345.53     | 360.63     | MDDDRP+Cambria
independently        | 401.89     | 360.63     | MDDDRP+Cambria
(disregarding        | 474.09     | 360.63     | MDDDRP+Cambria
the                  | 543.02     | 360.63     | MDDDRP+Cambria
angles               | 70.87      | 372.73     | XELMPT+Cambria
between              | 104.85     | 372.73     | XELMPT+Cambria
them),               | 149.42     | 372.73     | XELMPT+Cambria
the                  | 183.28     | 372.73     | XELMPT+Cambria
extracted            | 202.17     | 372.73     | XELMPT+Cambria
median               | 251.58     | 372.73     | XELMPT+Cambria
surface              | 290.70     | 372.73     | XELMPT+Cambria
shall                | 329.28     | 372.73     | XELMPT+Cambria
be                   | 355.38     | 372.73     | XELMPT+Cambria
contained            | 370.31     | 372.73     | XELMPT+Cambria
between              | 421.05     | 372.73     | XELMPT+Cambria
two                  | 465.63     | 372.73     | XELMPT+Cambria
parallel             | 487.58     | 372.73     | XELMPT+Cambria
planes               | 527.53     | 372.73     | XELMPT+Cambria
0,05                 | 70.87      | 384.83     | MDDDRP+Cambria
apart,               | 95.55      | 384.83     | MDDDRP+Cambria
which                | 128.10     | 384.83     | MDDDRP+Cambria
are                  | 161.12     | 384.83     | MDDDRP+Cambria
