Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
Key                  | 36.85      | 248.28     | HBOUZZ+Cambria-Bold
a                    | 36.85      | 284.82     | XELMPT+Cambria
datum                | 56.74      | 284.82     | XELMPT+Cambria
A                    | 86.59      | 284.82     | XELMPT+Cambria
b                    | 36.85      | 299.68     | XELMPT+Cambria
datum                | 56.74      | 299.68     | XELMPT+Cambria
B                    | 86.59      | 299.68     | XELMPT+Cambria
c                    | 36.85      | 314.55     | XELMPT+Cambria
real                 | 56.74      | 314.55     | MDDDRP+Cambria
feature              | 75.40      | 314.55     | MDDDRP+Cambria
or                   | 108.05     | 314.55     | MDDDRP+Cambria
filtered             | 119.70     | 314.55     | MDDDRP+Cambria
feature              | 153.01     | 314.55     | MDDDRP+Cambria
d                    | 36.85      | 329.41     | XELMPT+Cambria
minimum              | 56.74      | 329.41     | XELMPT+Cambria
circumscribed        | 100.56     | 329.41     | XELMPT+Cambria
feature              | 163.72     | 329.41     | XELMPT+Cambria
e                    | 36.85      | 344.28     | XELMPT+Cambria
tolerance            | 56.74      | 344.28     | XELMPT+Cambria
zone                 | 98.85      | 344.28     | XELMPT+Cambria
f                    | 36.85      | 359.14     | XELMPT+Cambria
toleranced           | 56.74      | 359.14     | XELMPT+Cambria
feature              | 104.40     | 359.14     | XELMPT+Cambria
(centreline          | 137.05     | 359.14     | XELMPT+Cambria
for                  | 186.13     | 359.14     | XELMPT+Cambria
d)                   | 200.69     | 359.14     | XELMPT+Cambria
NOTE                 | 36.85      | 380.20     | XELMPT+Cambria
The                  | 85.04      | 380.20     | XELMPT+Cambria
toleranced           | 105.17     | 380.20     | XELMPT+Cambria
feature              | 155.15     | 380.20     | XELMPT+Cambria
is                   | 190.39     | 380.20     | XELMPT+Cambria
a                    | 201.17     | 380.20     | XELMPT+Cambria
straight             | 209.58     | 380.20     | XELMPT+Cambria
line                 | 247.73     | 380.20     | XELMPT+Cambria
(the                 | 267.50     | 380.20     | XELMPT+Cambria
centre               | 288.53     | 380.20     | XELMPT+Cambria
line                 | 319.95     | 380.20     | XELMPT+Cambria
of                   | 339.73     | 380.20     | XELMPT+Cambria
the                  | 351.56     | 380.20     | XELMPT+Cambria
associated           | 369.18     | 380.20     | XELMPT+Cambria
feature),            | 418.62     | 380.20     | XELMPT+Cambria
but                  | 459.25     | 380.20     | XELMPT+Cambria
for                  | 477.16     | 380.20     | XELMPT+Cambria
ease                 | 493.20     | 380.20     | XELMPT+Cambria
of                   | 516.11     | 380.20     | XELMPT+Cambria
illustration         | 36.85      | 391.20     | XELMPT+Cambria
it                   | 88.21      | 391.20     | XELMPT+Cambria
is                   | 96.62      | 391.20     | XELMPT+Cambria
shown                | 106.08     | 391.20     | XELMPT+Cambria
as                   | 136.99     | 391.20     | XELMPT+Cambria
a                    | 148.61     | 391.20     | XELMPT+Cambria
point.               | 155.69     | 391.20     | XELMPT+Cambria
Figure               | 63.27      | 398.68     | XELMPT+Cambria-Bold
30                   | 99.21      | 398.68     | XELMPT+Cambria-Bold
—                    | 114.49     | 398.68     | XELMPT+Cambria-Bold
Minimum              | 127.92     | 398.68     | XELMPT+Cambria-Bold
circumscribed        | 179.84     | 398.68     | XELMPT+Cambria-Bold
associated           | 256.64     | 398.68     | XELMPT+Cambria-Bold
toleranced           | 313.04     | 398.68     | XELMPT+Cambria-Bold
feature              | 370.50     | 398.68     | XELMPT+Cambria-Bold
—                    | 410.40     | 398.68     | XELMPT+Cambria-Bold
Interpretation       | 423.82     | 398.68     | XELMPT+Cambria-Bold
shall                | 51.09      | 455.01     | XELMPT+Cambria
be                   | 75.95      | 455.01     | XELMPT+Cambria
used                 | 89.64      | 455.01     | XELMPT+Cambria
