Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
EUROPÄISCHE          | 71.76      | 79.79      | OFLNBI+Cambria
NORM                 | 176.54     | 79.79      | OFLNBI+Cambria
February             | 351.00     | 83.06      | OFLNBI+Cambria
2017                 | 396.89     | 83.06      | OFLNBI+Cambria
ICS                  | 71.76      | 118.10     | OFLNBI+Cambria
17.040.40            | 87.73      | 118.10     | OFLNBI+Cambria
Supersedes           | 438.26     | 118.10     | OFLNBI+Cambria
EN                   | 489.33     | 118.10     | OFLNBI+Cambria
ISO                  | 504.06     | 118.10     | OFLNBI+Cambria
1101:2013            | 521.09     | 118.10     | OFLNBI+Cambria
English              | 283.08     | 153.98     | OFLNBI+Cambria
Version              | 320.30     | 153.98     | OFLNBI+Cambria
Geometrical          | 132.12     | 177.75     | OFLNBI+Cambria
product              | 218.40     | 177.75     | OFLNBI+Cambria
specifications       | 276.17     | 177.75     | OFLNBI+Cambria
(GPS)                | 373.23     | 177.75     | OFLNBI+Cambria
-                    | 415.73     | 177.75     | OFLNBI+Cambria
Geometrical          | 424.63     | 177.75     | OFLNBI+Cambria
tolerancing          | 123.01     | 196.47     | OFLNBI+Cambria
-                    | 204.19     | 196.47     | OFLNBI+Cambria
Tolerances           | 213.00     | 196.47     | OFLNBI+Cambria
of                   | 291.72     | 196.47     | OFLNBI+Cambria
form,                | 308.60     | 196.47     | OFLNBI+Cambria
orientation,         | 348.67     | 196.47     | OFLNBI+Cambria
location             | 432.30     | 196.47     | OFLNBI+Cambria
and                  | 490.89     | 196.47     | OFLNBI+Cambria
run-out              | 234.60     | 215.19     | OFLNBI+Cambria
(ISO                 | 290.54     | 215.19     | OFLNBI+Cambria
1101:2017)           | 323.83     | 215.19     | OFLNBI+Cambria
Spécification        | 88.32      | 244.73     | OFLNBI+Cambria
géométrique          | 139.74     | 244.73     | OFLNBI+Cambria
des                  | 190.79     | 244.73     | OFLNBI+Cambria
produits             | 205.99     | 244.73     | OFLNBI+Cambria
(GPS)                | 240.73     | 244.73     | OFLNBI+Cambria
-                    | 264.71     | 244.73     | OFLNBI+Cambria
Geometrische         | 379.20     | 244.72     | OFLNBI+Cambria
Produktspezifikation | 434.29     | 244.72     | OFLNBI+Cambria
(GPS)                | 517.13     | 244.72     | OFLNBI+Cambria
-                    | 541.10     | 244.72     | OFLNBI+Cambria
Tolérancement        | 84.96      | 255.17     | OFLNBI+Cambria
géométrique          | 145.45     | 255.17     | OFLNBI+Cambria
-                    | 196.46     | 255.17     | OFLNBI+Cambria
Tolérancement        | 201.50     | 255.17     | OFLNBI+Cambria
de                   | 261.75     | 255.17     | OFLNBI+Cambria
Geometrische         | 364.44     | 255.16     | OFLNBI+Cambria
Tolerierung          | 419.54     | 255.16     | OFLNBI+Cambria
-                    | 467.33     | 255.16     | OFLNBI+Cambria
Tolerierung          | 472.23     | 255.16     | OFLNBI+Cambria
von                  | 520.02     | 255.16     | OFLNBI+Cambria
Form,                | 536.34     | 255.16     | OFLNBI+Cambria
forme,               | 90.36      | 265.72     | OFLNBI+Cambria
