Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
Table                | 261.99     | 85.88      | HBOUZZ+Cambria-Bold
1                    | 292.79     | 85.88      | HBOUZZ+Cambria-Bold
Feature              | 55.78      | 115.26     | HBOUZZ+Cambria-Bold
level                | 94.29      | 115.26     | HBOUZZ+Cambria-Bold
Feature              | 153.64     | 115.26     | HBOUZZ+Cambria-Bold
type                 | 192.14     | 115.26     | HBOUZZ+Cambria-Bold
Details              | 264.13     | 115.26     | HBOUZZ+Cambria-Bold
Line                 | 404.82     | 107.67     | XELMPT+Cambria-Bold
type                 | 427.33     | 107.67     | XELMPT+Cambria-Bold
Visible              | 363.35     | 120.45     | XELMPT+Cambria
Behind               | 428.91     | 120.45     | XELMPT+Cambria
plane/surface        | 461.61     | 120.45     | XELMPT+Cambria
point                | 234.39     | 135.62     | XELMPT+Cambria
integral             | 137.08     | 152.29     | XELMPT+Cambria
feature              | 173.82     | 152.29     | XELMPT+Cambria
line/axis            | 234.39     | 152.29     | XELMPT+Cambria
wide                 | 342.13     | 152.29     | XELMPT+Cambria
continuous           | 365.60     | 152.29     | XELMPT+Cambria
narrow               | 442.33     | 152.29     | XELMPT+Cambria
dashed               | 477.08     | 152.29     | XELMPT+Cambria
surface/plane        | 234.39     | 168.96     | XELMPT+Cambria
Nominal              | 39.62      | 176.54     | XELMPT+Cambria
feature              | 78.85      | 176.54     | XELMPT+Cambria
point                | 234.39     | 184.13     | XELMPT+Cambria
narrow               | 334.69     | 195.30     | XELMPT+Cambria
long                 | 369.43     | 195.30     | XELMPT+Cambria
dashed               | 390.20     | 195.30     | XELMPT+Cambria
narrow               | 442.33     | 195.30     | XELMPT+Cambria
dashed               | 477.08     | 195.30     | XELMPT+Cambria
derived              | 137.08     | 200.80     | XELMPT+Cambria
feature              | 172.54     | 200.80     | XELMPT+Cambria
line/axis            | 234.39     | 200.80     | XELMPT+Cambria
dotted               | 363.58     | 206.30     | XELMPT+Cambria
dotted               | 460.85     | 206.30     | XELMPT+Cambria
surface/plane        | 234.39     | 217.47     | XELMPT+Cambria
surface              | 234.39     | 232.64     | XELMPT+Cambria
wide                 | 336.12     | 232.64     | XELMPT+Cambria
freehand             | 359.59     | 232.64     | XELMPT+Cambria
con-                 | 401.26     | 232.64     | XELMPT+Cambria
narrow               | 438.17     | 232.64     | XELMPT+Cambria
freehand             | 472.91     | 232.64     | XELMPT+Cambria
Real                 | 39.62      | 238.14     | XELMPT+Cambria
feature              | 60.99      | 238.14     | XELMPT+Cambria
integral             | 137.08     | 238.14     | XELMPT+Cambria
feature              | 173.82     | 238.14     | XELMPT+Cambria
tinuous              | 361.55     | 243.64     | XELMPT+Cambria
dashed               | 459.71     | 243.64     | XELMPT+Cambria
point                | 234.39     | 258.80     | XELMPT+Cambria
integral             | 137.08     | 275.47     | XELMPT+Cambria
feature              | 173.82     | 275.47     | XELMPT+Cambria
line                 | 234.39     | 275.47     | XELMPT+Cambria
wide                 | 338.13     | 275.47     | XELMPT+Cambria
short                | 361.59     | 275.47     | XELMPT+Cambria
dashed               | 386.76     | 275.47     | XELMPT+Cambria
narrow               | 429.74     | 275.47     | XELMPT+Cambria
short                | 464.49     | 275.47     | XELMPT+Cambria
dashed               | 489.67     | 275.47     | XELMPT+Cambria
surface              | 234.39     | 292.14     | XELMPT+Cambria
Extracted            | 39.62      | 299.73     | XELMPT+Cambria
feature              | 84.94      | 299.73     | XELMPT+Cambria
