Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
Annex                | 250.49     | 86.27      | XELMPT+Cambria-Bold
A                    | 300.33     | 86.27      | XELMPT+Cambria-Bold
(informative)        | 234.84     | 114.46     | XELMPT+Cambria
Deprecated           | 159.78     | 139.07     | XELMPT+Cambria-Bold
and                  | 247.99     | 139.07     | XELMPT+Cambria-Bold
former               | 279.29     | 139.07     | XELMPT+Cambria-Bold
practices            | 334.62     | 139.07     | XELMPT+Cambria-Bold
A.1                  | 36.85      | 205.08     | XELMPT+Cambria-Bold
General              | 65.20      | 205.08     | XELMPT+Cambria-Bold
This                 | 36.85      | 228.28     | MDDDRP+Cambria
annex                | 60.68      | 228.28     | MDDDRP+Cambria
describes            | 92.19      | 228.28     | MDDDRP+Cambria
former               | 140.42     | 228.28     | MDDDRP+Cambria
practices            | 176.15     | 228.28     | MDDDRP+Cambria
that                 | 222.40     | 228.28     | MDDDRP+Cambria
have                 | 244.58     | 228.28     | MDDDRP+Cambria
been                 | 269.77     | 228.28     | MDDDRP+Cambria
omitted              | 295.62     | 228.28     | MDDDRP+Cambria
and                  | 336.26     | 228.28     | MDDDRP+Cambria
are                  | 356.86     | 228.28     | MDDDRP+Cambria
no                   | 375.34     | 228.28     | MDDDRP+Cambria
longer               | 390.08     | 228.28     | MDDDRP+Cambria
used.                | 423.08     | 228.28     | MDDDRP+Cambria
Therefore,           | 450.97     | 228.28     | MDDDRP+Cambria
they                 | 503.44     | 228.28     | MDDDRP+Cambria
are                  | 36.85      | 240.38     | MDDDRP+Cambria
not                  | 54.90      | 240.38     | MDDDRP+Cambria
an                   | 72.91      | 240.38     | MDDDRP+Cambria
integral             | 87.04      | 240.38     | MDDDRP+Cambria
part                 | 127.14     | 240.38     | MDDDRP+Cambria
of                   | 149.99     | 240.38     | MDDDRP+Cambria
this                 | 161.50     | 240.38     | MDDDRP+Cambria
document,            | 182.14     | 240.38     | MDDDRP+Cambria
but                  | 234.53     | 240.38     | MDDDRP+Cambria
should               | 252.67     | 240.38     | MDDDRP+Cambria
be                   | 286.79     | 240.38     | MDDDRP+Cambria
used                 | 300.65     | 240.38     | MDDDRP+Cambria
for                  | 325.66     | 240.38     | MDDDRP+Cambria
information          | 341.74     | 240.38     | MDDDRP+Cambria
only.                | 401.16     | 240.38     | MDDDRP+Cambria
A.2                  | 36.85      | 272.63     | XELMPT+Cambria-Bold
Deprecated           | 65.20      | 272.63     | XELMPT+Cambria-Bold
practice             | 136.88     | 272.63     | XELMPT+Cambria-Bold
from                 | 188.09     | 272.63     | XELMPT+Cambria-Bold
ISO                  | 219.96     | 272.63     | XELMPT+Cambria-Bold
1101:2012            | 243.07     | 272.63     | XELMPT+Cambria-Bold
The                  | 36.85      | 295.83     | MDDDRP+Cambria
following            | 58.81      | 295.83     | MDDDRP+Cambria
drawing              | 107.20     | 295.83     | MDDDRP+Cambria
indications          | 150.98     | 295.83     | MDDDRP+Cambria
were                 | 207.56     | 295.83     | MDDDRP+Cambria
described            | 235.12     | 295.83     | MDDDRP+Cambria
in                   | 285.68     | 295.83     | MDDDRP+Cambria
ISO                  | 298.81     | 295.83     | MDDDRP+Cambria
1101:2012.           | 318.93     | 295.83     | MDDDRP+Cambria
They                 | 374.96     | 295.83     | MDDDRP+Cambria
can                  | 402.49     | 295.83     | MDDDRP+Cambria
still                | 423.09     | 295.83     | MDDDRP+Cambria
be                   | 445.29     | 295.83     | MDDDRP+Cambria
used,                | 460.53     | 295.83     | MDDDRP+Cambria
but                  | 489.27     | 295.83     | MDDDRP+Cambria
are                  | 508.79     | 295.83     | MDDDRP+Cambria
expected             | 36.85      | 307.93     | XELMPT+Cambria
to                   | 82.64      | 307.93     | XELMPT+Cambria
be                   | 94.78      | 307.93     | XELMPT+Cambria
phased               | 108.65     | 307.93     | XELMPT+Cambria
out.                 | 145.19     | 307.93     | XELMPT+Cambria
A.2.1                | 36.85      | 335.14     | XELMPT+Cambria-Bold
The                  | 73.70      | 334.91     | MDDDRP+Cambria
practice             | 93.59      | 334.91     | MDDDRP+Cambria
of                   | 133.22     | 334.91     | MDDDRP+Cambria
relying              | 144.33     | 334.91     | MDDDRP+Cambria
on                   | 178.96     | 334.91     | MDDDRP+Cambria
the                  | 192.87     | 334.91     | MDDDRP+Cambria
drawing              | 209.97     | 334.91     | MDDDRP+Cambria
plane                | 250.74     | 334.91     | MDDDRP+Cambria
to                   | 278.66     | 334.91     | MDDDRP+Cambria
define               | 290.06     | 334.91     | MDDDRP+Cambria
the                  | 321.35     | 334.91     | MDDDRP+Cambria
intersection         | 338.45     | 334.91     | MDDDRP+Cambria
plane,               | 396.81     | 334.91     | MDDDRP+Cambria
e.g.                 | 426.99     | 334.91     | MDDDRP+Cambria
for                  | 444.24     | 334.91     | MDDDRP+Cambria
a                    | 459.76     | 334.91     | MDDDRP+Cambria
