Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
a)                   | 145.50     | 246.67     | HBOUZZ+Cambria-Bold
2D                   | 157.84     | 246.67     | HBOUZZ+Cambria-Bold
b)                   | 389.06     | 246.67     | HBOUZZ+Cambria-Bold
3D                   | 401.94     | 246.67     | HBOUZZ+Cambria-Bold
Figure               | 176.26     | 276.49     | XELMPT+Cambria-Bold
173                  | 212.20     | 276.49     | XELMPT+Cambria-Bold
—                    | 233.44     | 276.49     | XELMPT+Cambria-Bold
Circular             | 246.86     | 276.49     | XELMPT+Cambria-Bold
run-out              | 291.20     | 276.49     | XELMPT+Cambria-Bold
indication           | 332.95     | 276.49     | XELMPT+Cambria-Bold
In                   | 36.85      | 330.82     | XELMPT+Cambria
Figure               | 49.87      | 330.82     | XELMPT+Cambria
174                  | 84.98      | 330.82     | XELMPT+Cambria
,                    | 101.23     | 330.82     | MDDDRP+Cambria
the                  | 106.73     | 330.82     | MDDDRP+Cambria
extracted            | 125.39     | 330.82     | MDDDRP+Cambria
line                 | 174.56     | 330.82     | MDDDRP+Cambria
in                   | 195.53     | 330.82     | MDDDRP+Cambria
any                  | 208.11     | 330.82     | MDDDRP+Cambria
cross-section        | 228.52     | 330.82     | MDDDRP+Cambria
plane                | 294.91     | 330.82     | MDDDRP+Cambria
perpendicular        | 324.25     | 330.82     | MDDDRP+Cambria
to                   | 395.19     | 330.82     | MDDDRP+Cambria
common               | 408.17     | 330.82     | MDDDRP+Cambria
datum                | 452.33     | 330.82     | MDDDRP+Cambria
straight             | 486.65     | 330.82     | MDDDRP+Cambria
line                 | 36.85      | 342.92     | XELMPT+Cambria
A-B                  | 57.00      | 342.92     | XELMPT+Cambria
shall                | 76.35      | 342.92     | XELMPT+Cambria
be                   | 101.39     | 342.92     | XELMPT+Cambria
contained            | 115.26     | 342.92     | XELMPT+Cambria
between              | 164.94     | 342.92     | XELMPT+Cambria
two                  | 208.44     | 342.92     | XELMPT+Cambria
coplanar             | 229.34     | 342.92     | XELMPT+Cambria
concentric           | 273.47     | 342.92     | XELMPT+Cambria
circles              | 325.64     | 342.92     | XELMPT+Cambria
with                 | 359.01     | 342.92     | XELMPT+Cambria
a                    | 383.51     | 342.92     | XELMPT+Cambria
difference           | 391.30     | 342.92     | XELMPT+Cambria
in                   | 441.90     | 342.92     | XELMPT+Cambria
radii                | 453.64     | 342.92     | XELMPT+Cambria
of                   | 478.63     | 342.92     | XELMPT+Cambria
0,1.                 | 490.15     | 342.92     | XELMPT+Cambria
a)                   | 145.50     | 472.42     | HBOUZZ+Cambria-Bold
2D                   | 157.84     | 472.42     | HBOUZZ+Cambria-Bold
b)                   | 389.06     | 472.42     | HBOUZZ+Cambria-Bold
3D                   | 401.94     | 472.42     | HBOUZZ+Cambria-Bold
Figure               | 176.56     | 502.24     | XELMPT+Cambria-Bold
174                  | 212.51     | 502.24     | XELMPT+Cambria-Bold
—                    | 233.14     | 502.24     | XELMPT+Cambria-Bold
Circular             | 246.56     | 502.24     | XELMPT+Cambria-Bold
run-out              | 290.90     | 502.24     | XELMPT+Cambria-Bold
indication           | 332.65     | 502.24     | XELMPT+Cambria-Bold
The                  | 36.85      | 556.56     | MDDDRP+Cambria
tolerance            | 57.77      | 556.56     | MDDDRP+Cambria
zones                | 104.97     | 556.56     | MDDDRP+Cambria
defined              | 134.79     | 556.56     | MDDDRP+Cambria
by                   | 173.50     | 556.56     | MDDDRP+Cambria
the                  | 187.79     | 556.56     | MDDDRP+Cambria
specifications       | 205.96     | 556.56     | MDDDRP+Cambria
in                   | 274.51     | 556.56     | MDDDRP+Cambria
Figure               | 286.59     | 556.56     | XELMPT+Cambria
172,                 | 321.02     | 556.56     | XELMPT+Cambria
Figure               | 343.36     | 556.56     | XELMPT+Cambria
173                  | 377.79     | 556.56     | XELMPT+Cambria
and                  | 397.72     | 556.56     | XELMPT+Cambria
Figure               | 418.22     | 556.56     | XELMPT+Cambria
174                  | 452.85     | 556.56     | XELMPT+Cambria
are                  | 471.89     | 556.56     | XELMPT+Cambria
limited              | 490.27     | 556.56     | XELMPT+Cambria
within               | 36.85      | 568.66     | MDDDRP+Cambria
any                  | 70.87      | 568.66     | MDDDRP+Cambria
cross-section        | 90.49      | 568.66     | MDDDRP+Cambria
perpendicular        | 156.09     | 568.66     | MDDDRP+Cambria
to                   | 226.24     | 568.66     | MDDDRP+Cambria
the                  | 238.42     | 568.66     | MDDDRP+Cambria
datum                | 256.28     | 568.66     | MDDDRP+Cambria
axis                 | 289.81     | 568.66     | MDDDRP+Cambria
by                   | 311.56     | 568.66     | MDDDRP+Cambria
two                  | 325.55     | 568.66     | MDDDRP+Cambria
concentric           | 346.48     | 568.66     | MDDDRP+Cambria
circles              | 398.70     | 568.66     | MDDDRP+Cambria
with                 | 432.10     | 568.66     | MDDDRP+Cambria
a                    | 456.63     | 568.66     | MDDDRP+Cambria
difference           | 464.46     | 568.66     | MDDDRP+Cambria
in                   | 515.09     | 568.66     | MDDDRP+Cambria
radii                | 36.85      | 580.76     | XELMPT+Cambria
of                   | 61.84      | 580.76     | XELMPT+Cambria
0,1,                 | 73.35      | 580.76     | XELMPT+Cambria
the                  | 92.09      | 580.76     | XELMPT+Cambria
centres              | 109.93     | 580.76     | XELMPT+Cambria
of                   | 147.61     | 580.76     | XELMPT+Cambria
which                | 159.12     | 580.76     | XELMPT+Cambria
coincide             | 190.31     | 580.76     | XELMPT+Cambria
with                 | 232.06     | 580.76     | XELMPT+Cambria
the                  | 256.56     | 580.76     | XELMPT+Cambria
datum,               | 274.39     | 580.76     | XELMPT+Cambria
see                  | 310.22     | 580.76     | XELMPT+Cambria
Figure               | 328.24     | 580.76     | XELMPT+Cambria
175.                 | 362.33     | 580.76     | XELMPT+Cambria
