Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
Figure               | 137.86     | 210.61     | XELMPT+Cambria-Bold
E.13                 | 173.80     | 210.61     | XELMPT+Cambria-Bold
—                    | 198.19     | 210.61     | XELMPT+Cambria-Bold
Example              | 211.61     | 210.61     | XELMPT+Cambria-Bold
of                   | 258.12     | 210.61     | XELMPT+Cambria-Bold
a                    | 270.34     | 210.61     | XELMPT+Cambria-Bold
roundness            | 278.64     | 210.61     | XELMPT+Cambria-Bold
specification        | 335.17     | 210.61     | XELMPT+Cambria-Bold
—                    | 403.40     | 210.61     | XELMPT+Cambria-Bold
Gaussian             | 416.82     | 210.61     | XELMPT+Cambria-Bold
filter               | 465.46     | 210.61     | XELMPT+Cambria-Bold
Figure               | 70.87      | 264.94     | XELMPT+Cambria
E.14                 | 104.81     | 264.94     | XELMPT+Cambria
shows                | 126.45     | 264.94     | MDDDRP+Cambria
an                   | 158.28     | 264.94     | MDDDRP+Cambria
example              | 172.11     | 264.94     | MDDDRP+Cambria
of                   | 214.15     | 264.94     | MDDDRP+Cambria
a                    | 225.36     | 264.94     | MDDDRP+Cambria
cylindricity         | 232.86     | 264.94     | MDDDRP+Cambria
specification.       | 290.24     | 264.94     | MDDDRP+Cambria
The                  | 355.71     | 264.94     | MDDDRP+Cambria
specification        | 376.00     | 264.94     | MDDDRP+Cambria
element              | 439.03     | 264.94     | MDDDRP+Cambria
CB                   | 478.86     | 264.94     | MDDDRP+Cambria
indicates            | 493.96     | 264.94     | MDDDRP+Cambria
that                 | 539.12     | 264.94     | MDDDRP+Cambria
a                    | 70.87      | 277.04     | MDDDRP+Cambria
closing              | 79.05      | 277.04     | MDDDRP+Cambria
ball                 | 115.17     | 277.04     | MDDDRP+Cambria
filter               | 135.84     | 277.04     | MDDDRP+Cambria
is                   | 162.35     | 277.04     | MDDDRP+Cambria
specified.           | 173.10     | 277.04     | MDDDRP+Cambria
The                  | 221.46     | 277.04     | MDDDRP+Cambria
value                | 242.44     | 277.04     | MDDDRP+Cambria
“1,5”                | 270.82     | 277.04     | MDDDRP+Cambria
indicates            | 296.16     | 277.04     | MDDDRP+Cambria
that                 | 342.01     | 277.04     | MDDDRP+Cambria
a                    | 364.15     | 277.04     | MDDDRP+Cambria
1,5                  | 372.34     | 277.04     | MDDDRP+Cambria
mm                   | 389.78     | 277.04     | MDDDRP+Cambria
radius               | 411.05     | 277.04     | MDDDRP+Cambria
