Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
The                  | 70.87      | 85.66      | MDDDRP+Cambria
filtered             | 93.02      | 85.66      | MDDDRP+Cambria
profile              | 132.42     | 85.66      | MDDDRP+Cambria
in                   | 168.19     | 85.66      | MDDDRP+Cambria
Figure               | 181.51     | 85.66      | XELMPT+Cambria
E.2                  | 216.64     | 85.66      | XELMPT+Cambria
a)                   | 235.89     | 85.66      | MDDDRP+Cambria
has                  | 248.92     | 85.66      | MDDDRP+Cambria
more                 | 269.38     | 85.66      | MDDDRP+Cambria
detail               | 298.23     | 85.66      | MDDDRP+Cambria
included             | 329.61     | 85.66      | MDDDRP+Cambria
than                 | 374.22     | 85.66      | MDDDRP+Cambria
the                  | 400.15     | 85.66      | MDDDRP+Cambria
filtered             | 419.55     | 85.66      | MDDDRP+Cambria
profile              | 458.95     | 85.66      | MDDDRP+Cambria
in                   | 494.72     | 85.66      | MDDDRP+Cambria
Figure               | 508.04     | 85.66      | XELMPT+Cambria
E.2                  | 543.17     | 85.66      | XELMPT+Cambria
b),                  | 70.87      | 97.76      | MDDDRP+Cambria
but                  | 86.17      | 97.76      | MDDDRP+Cambria
the                  | 105.36     | 97.76      | MDDDRP+Cambria
overall              | 124.25     | 97.76      | MDDDRP+Cambria
shape                | 160.71     | 97.76      | MDDDRP+Cambria
of                   | 191.87     | 97.76      | MDDDRP+Cambria
the                  | 204.43     | 97.76      | MDDDRP+Cambria
filtered             | 223.32     | 97.76      | MDDDRP+Cambria
profile              | 262.20     | 97.76      | MDDDRP+Cambria
and                  | 297.46     | 97.76      | MDDDRP+Cambria
the                  | 318.67     | 97.76      | MDDDRP+Cambria
amplitude            | 337.55     | 97.76      | MDDDRP+Cambria
of                   | 389.35     | 97.76      | MDDDRP+Cambria
the                  | 401.91     | 97.76      | MDDDRP+Cambria
deviations           | 420.79     | 97.76      | MDDDRP+Cambria
are                  | 473.92     | 97.76      | MDDDRP+Cambria
similar              | 493.02     | 97.76      | MDDDRP+Cambria
in                   | 530.22     | 97.76      | MDDDRP+Cambria
the                  | 543.02     | 97.76      | MDDDRP+Cambria
two                  | 70.87      | 109.86     | MDDDRP+Cambria
figures.             | 92.53      | 109.86     | MDDDRP+Cambria
The                  | 131.90     | 109.86     | MDDDRP+Cambria
difference           | 153.26     | 109.86     | MDDDRP+Cambria
in                   | 204.62     | 109.86     | MDDDRP+Cambria
cutoff               | 217.15     | 109.86     | MDDDRP+Cambria
length               | 248.19     | 109.86     | MDDDRP+Cambria
between              | 281.80     | 109.86     | MDDDRP+Cambria
0,8                  | 326.09     | 109.86     | MDDDRP+Cambria
mm                   | 343.89     | 109.86     | MDDDRP+Cambria
and                  | 365.54     | 109.86     | MDDDRP+Cambria
2,5                  | 386.47     | 109.86     | MDDDRP+Cambria
mm                   | 404.55     | 109.86     | MDDDRP+Cambria
does                 | 426.20     | 109.86     | MDDDRP+Cambria
not                  | 451.48     | 109.86     | MDDDRP+Cambria
make                 | 470.27     | 109.86     | MDDDRP+Cambria
a                    | 499.48     | 109.86     | MDDDRP+Cambria
significant          | 508.04     | 109.86     | MDDDRP+Cambria
difference           | 70.87      | 121.96     | MDDDRP+Cambria
for                  | 121.22     | 121.96     | MDDDRP+Cambria
this                 | 137.07     | 121.96     | MDDDRP+Cambria
particular           | 157.46     | 121.96     | MDDDRP+Cambria
profile,             | 207.96     | 121.96     | MDDDRP+Cambria
they                 | 244.21     | 121.96     | MDDDRP+Cambria
both                 | 267.37     | 121.96     | MDDDRP+Cambria
have                 | 291.60     | 121.96     | MDDDRP+Cambria
a                    | 316.10     | 121.96     | MDDDRP+Cambria
total                | 323.65     | 121.96     | MDDDRP+Cambria
height               | 348.28     | 121.96     | MDDDRP+Cambria
range                | 380.22     | 121.96     | MDDDRP+Cambria
of                   | 409.68     | 121.96     | MDDDRP+Cambria
about                | 420.95     | 121.96     | MDDDRP+Cambria
30                   | 450.09     | 121.96     | MDDDRP+Cambria
µm.                  | 464.35     | 121.96     | MDDDRP+Cambria
Also,                | 484.51     | 121.96     | MDDDRP+Cambria
Figure               | 509.85     | 121.96     | XELMPT+Cambria
E.2                  | 543.16     | 121.96     | XELMPT+Cambria
shows                | 70.87      | 134.06     | MDDDRP+Cambria
that                 | 103.55     | 134.06     | MDDDRP+Cambria
the                  | 125.84     | 134.06     | MDDDRP+Cambria
Gaussian             | 144.23     | 134.06     | MDDDRP+Cambria
filter,              | 189.88     | 134.06     | MDDDRP+Cambria
like                 | 218.19     | 134.06     | MDDDRP+Cambria
the                  | 238.68     | 134.06     | MDDDRP+Cambria
spline               | 257.06     | 134.06     | MDDDRP+Cambria
and                  | 288.65     | 134.06     | MDDDRP+Cambria
wavelet              | 309.37     | 134.06     | MDDDRP+Cambria
filters,             | 349.22     | 134.06     | MDDDRP+Cambria
create               | 383.18     | 134.06     | MDDDRP+Cambria
a                    | 416.03     | 134.06     | MDDDRP+Cambria
filtered             | 424.38     | 134.06     | MDDDRP+Cambria
profile              | 462.76     | 134.06     | MDDDRP+Cambria
that                 | 497.52     | 134.06     | MDDDRP+Cambria
is                   | 519.81     | 134.06     | MDDDRP+Cambria
in                   | 530.71     | 134.06     | MDDDRP+Cambria
the                  | 543.02     | 134.06     | MDDDRP+Cambria
middle               | 70.87      | 146.16     | MDDDRP+Cambria
of                   | 106.16     | 146.16     | MDDDRP+Cambria
the                  | 117.67     | 146.16     | MDDDRP+Cambria
unfiltered           | 135.50     | 146.16     | MDDDRP+Cambria
profile.             | 185.93     | 146.16     | MDDDRP+Cambria
Figure               | 70.87      | 167.47     | XELMPT+Cambria
E.3                  | 105.39     | 167.47     | XELMPT+Cambria
shows                | 124.09     | 167.47     | MDDDRP+Cambria
the                  | 157.19     | 167.47     | MDDDRP+Cambria
same                 | 175.99     | 167.47     | MDDDRP+Cambria
profile              | 204.22     | 167.47     | MDDDRP+Cambria
as                   | 239.39     | 167.47     | MDDDRP+Cambria
in                   | 253.09     | 167.47     | MDDDRP+Cambria
Figure               | 265.81     | 167.47     | XELMPT+Cambria
E.1                  | 300.57     | 167.47     | XELMPT+Cambria
after                | 318.51     | 167.47     | MDDDRP+Cambria
the                  | 345.06     | 167.47     | MDDDRP+Cambria
application          | 363.86     | 167.47     | MDDDRP+Cambria
of                   | 420.12     | 167.47     | MDDDRP+Cambria
a                    | 432.60     | 167.47     | MDDDRP+Cambria
closing              | 441.36     | 167.47     | MDDDRP+Cambria
disc                 | 478.05     | 167.47     | MDDDRP+Cambria
filter               | 500.50     | 167.47     | MDDDRP+Cambria
with                 | 527.59     | 167.47     | MDDDRP+Cambria
a                    | 553.06     | 167.47     | MDDDRP+Cambria
0,5                  | 70.87      | 179.57     | MDDDRP+Cambria
mm                   | 88.48      | 179.57     | MDDDRP+Cambria
radius               | 109.89     | 179.57     | MDDDRP+Cambria
disc                 | 143.09     | 179.57     | MDDDRP+Cambria
as                   | 165.11     | 179.57     | MDDDRP+Cambria
the                  | 178.37     | 179.57     | MDDDRP+Cambria
structuring          | 196.72     | 179.57     | MDDDRP+Cambria
element.             | 254.73     | 179.57     | MDDDRP+Cambria
A                    | 298.03     | 179.57     | MDDDRP+Cambria
closing              | 307.83     | 179.57     | MDDDRP+Cambria
ball                 | 344.08     | 179.57     | MDDDRP+Cambria
filter               | 364.88     | 179.57     | MDDDRP+Cambria
simulates            | 391.53     | 179.57     | MDDDRP+Cambria
rolling              | 440.25     | 179.57     | MDDDRP+Cambria
a                    | 474.74     | 179.57     | MDDDRP+Cambria
ball                 | 483.06     | 179.57     | MDDDRP+Cambria
of                   | 503.86     | 179.57     | MDDDRP+Cambria
a                    | 515.90     | 179.57     | MDDDRP+Cambria
certain              | 524.22     | 179.57     | MDDDRP+Cambria
diameter             | 70.87      | 191.67     | XELMPT+Cambria
over                 | 116.63     | 191.67     | XELMPT+Cambria
the                  | 140.20     | 191.67     | XELMPT+Cambria
surface.             | 158.12     | 191.67     | XELMPT+Cambria
The                  | 198.10     | 191.67     | XELMPT+Cambria
ball                 | 218.78     | 191.67     | XELMPT+Cambria
will                 | 239.15     | 191.67     | XELMPT+Cambria
contact              | 259.95     | 191.67     | XELMPT+Cambria
all                  | 297.57     | 191.67     | XELMPT+Cambria
the                  | 311.86     | 191.67     | XELMPT+Cambria
highest              | 329.79     | 191.67     | XELMPT+Cambria
peaks                | 367.35     | 191.67     | XELMPT+Cambria
in                   | 398.02     | 191.67     | XELMPT+Cambria
the                  | 409.87     | 191.67     | XELMPT+Cambria
surface,             | 427.80     | 191.67     | XELMPT+Cambria
but                  | 467.70     | 191.67     | XELMPT+Cambria
will                 | 485.94     | 191.67     | XELMPT+Cambria
not                  | 506.74     | 191.67     | XELMPT+Cambria
be                   | 524.86     | 191.67     | XELMPT+Cambria
able                 | 538.82     | 191.67     | XELMPT+Cambria
