Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
Figure               | 254.58     | 228.88     | XELMPT+Cambria-Bold
A.9                  | 290.52     | 228.88     | XELMPT+Cambria-Bold
Figure               | 251.41     | 378.77     | XELMPT+Cambria-Bold
A.10                 | 287.35     | 378.77     | XELMPT+Cambria-Bold
Figure               | 251.36     | 510.84     | XELMPT+Cambria-Bold
A.11                 | 287.30     | 510.84     | XELMPT+Cambria-Bold
This                 | 36.85      | 541.14     | XELMPT+Cambria
is                   | 60.85      | 541.14     | XELMPT+Cambria
not                  | 71.82      | 541.14     | XELMPT+Cambria
precise              | 90.46      | 541.14     | XELMPT+Cambria
when                 | 128.08     | 541.14     | XELMPT+Cambria
used                 | 157.13     | 541.14     | XELMPT+Cambria
in                   | 182.75     | 541.14     | XELMPT+Cambria
2D                   | 195.12     | 541.14     | XELMPT+Cambria
and                  | 211.41     | 541.14     | XELMPT+Cambria
ambiguous            | 232.19     | 541.14     | XELMPT+Cambria
when                 | 287.41     | 541.14     | XELMPT+Cambria
used                 | 316.46     | 541.14     | XELMPT+Cambria
in                   | 342.08     | 541.14     | XELMPT+Cambria
3D.                  | 354.44     | 541.14     | XELMPT+Cambria
The                  | 372.79     | 541.14     | XELMPT+Cambria
current              | 393.99     | 541.14     | XELMPT+Cambria
indication           | 433.00     | 541.14     | XELMPT+Cambria
with                 | 483.92     | 541.14     | XELMPT+Cambria
the                  | 509.04     | 541.14     | XELMPT+Cambria
identical            | 36.85      | 553.24     | XELMPT+Cambria
meaning              | 80.38      | 553.24     | XELMPT+Cambria
is                   | 124.03     | 553.24     | XELMPT+Cambria
shown                | 134.38     | 553.24     | XELMPT+Cambria
in                   | 168.20     | 553.24     | XELMPT+Cambria
Figure               | 179.95     | 553.24     | XELMPT+Cambria
116,                 | 213.94     | 553.24     | XELMPT+Cambria
Figure               | 235.78     | 553.24     | XELMPT+Cambria
114,                 | 270.03     | 553.24     | XELMPT+Cambria
Figure               | 291.20     | 553.24     | XELMPT+Cambria
130                  | 324.88     | 553.24     | XELMPT+Cambria
and                  | 345.23     | 553.24     | XELMPT+Cambria
Figure               | 365.40     | 553.24     | XELMPT+Cambria
132                  | 399.20     | 553.24     | XELMPT+Cambria
,                    | 417.01     | 553.24     | MDDDRP+Cambria
respectively.        | 421.69     | 553.24     | MDDDRP+Cambria
A.3.7                | 36.85      | 580.45     | XELMPT+Cambria-Bold
It                   | 73.70      | 580.23     | MDDDRP+Cambria
was                  | 85.55      | 580.23     | MDDDRP+Cambria
a                    | 108.52     | 580.23     | MDDDRP+Cambria
former               | 118.46     | 580.23     | MDDDRP+Cambria
practice             | 155.67     | 580.23     | MDDDRP+Cambria
to                   | 197.92     | 580.23     | MDDDRP+Cambria
rely                 | 211.95     | 580.23     | MDDDRP+Cambria
on                   | 234.58     | 580.23     | MDDDRP+Cambria
common               | 251.12     | 580.23     | MDDDRP+Cambria
practice             | 296.65     | 580.23     | MDDDRP+Cambria
amongst              | 338.90     | 580.23     | MDDDRP+Cambria
metrologists,        | 383.85     | 580.23     | MDDDRP+Cambria
e.g.                 | 449.63     | 580.23     | MDDDRP+Cambria
in                   | 469.50     | 580.23     | MDDDRP+Cambria
terms                | 483.26     | 580.23     | MDDDRP+Cambria
of                   | 515.24     | 580.23     | MDDDRP+Cambria
measuring            | 36.85      | 592.33     | MDDDRP+Cambria
instrument           | 88.52      | 592.33     | MDDDRP+Cambria
characteristics,     | 142.97     | 592.33     | MDDDRP+Cambria
sampling             | 215.57     | 592.33     | MDDDRP+Cambria
density              | 260.35     | 592.33     | MDDDRP+Cambria
and                  | 296.81     | 592.33     | MDDDRP+Cambria
filter               | 316.22     | 592.33     | MDDDRP+Cambria
settings             | 340.93     | 592.33     | MDDDRP+Cambria
to                   | 379.62     | 592.33     | MDDDRP+Cambria
limit                | 390.89     | 592.33     | MDDDRP+Cambria
the                  | 414.66     | 592.33     | MDDDRP+Cambria
variability          | 431.61     | 592.33     | MDDDRP+Cambria
of                   | 481.45     | 592.33     | MDDDRP+Cambria
results              | 492.42     | 592.33     | MDDDRP+Cambria
seen                 | 36.85      | 604.43     | MDDDRP+Cambria
in                   | 60.70      | 604.43     | MDDDRP+Cambria
verification         | 72.15      | 604.43     | MDDDRP+Cambria
in                   | 128.07     | 604.43     | MDDDRP+Cambria
the                  | 139.52     | 604.43     | MDDDRP+Cambria
absence              | 156.93     | 604.43     | MDDDRP+Cambria
of                   | 197.02     | 604.43     | MDDDRP+Cambria
explicit             | 208.44     | 604.43     | MDDDRP+Cambria
filtering            | 245.04     | 604.43     | MDDDRP+Cambria
specifications.      | 284.84     | 604.43     | MDDDRP+Cambria
Because              | 353.56     | 604.43     | MDDDRP+Cambria
different            | 394.29     | 604.43     | MDDDRP+Cambria
metrologists         | 437.21     | 604.43     | MDDDRP+Cambria
made                 | 498.42     | 604.43     | MDDDRP+Cambria
different            | 36.85      | 616.53     | MDDDRP+Cambria
choices,             | 81.70      | 616.53     | MDDDRP+Cambria
this                 | 122.90     | 616.53     | MDDDRP+Cambria
led                  | 144.67     | 616.53     | MDDDRP+Cambria
to                   | 163.31     | 616.53     | MDDDRP+Cambria
variation            | 176.96     | 616.53     | MDDDRP+Cambria
in                   | 223.56     | 616.53     | MDDDRP+Cambria
results              | 236.94     | 616.53     | MDDDRP+Cambria
and                  | 273.12     | 616.53     | MDDDRP+Cambria
therefore            | 294.92     | 616.53     | MDDDRP+Cambria
ambiguity            | 342.81     | 616.53     | MDDDRP+Cambria
in                   | 394.43     | 616.53     | MDDDRP+Cambria
the                  | 407.82     | 616.53     | MDDDRP+Cambria
specification.       | 427.16     | 616.53     | MDDDRP+Cambria
Where                | 493.09     | 616.53     | MDDDRP+Cambria
such                 | 36.85      | 628.63     | MDDDRP+Cambria
variations           | 61.28      | 628.63     | MDDDRP+Cambria
were                 | 111.12     | 628.63     | MDDDRP+Cambria
excessive            | 137.33     | 628.63     | MDDDRP+Cambria
or                   | 183.55     | 628.63     | MDDDRP+Cambria
influenced           | 196.65     | 628.63     | MDDDRP+Cambria
the                  | 248.76     | 628.63     | MDDDRP+Cambria
function             | 266.63     | 628.63     | MDDDRP+Cambria
of                   | 308.49     | 628.63     | MDDDRP+Cambria
the                  | 320.36     | 628.63     | MDDDRP+Cambria
