Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
a)                   | 179.52     | 277.91     | HBOUZZ+Cambria-Bold
2D                   | 191.85     | 277.91     | HBOUZZ+Cambria-Bold
b)                   | 423.08     | 277.91     | HBOUZZ+Cambria-Bold
3D                   | 435.95     | 277.91     | HBOUZZ+Cambria-Bold
Figure               | 226.93     | 307.73     | XELMPT+Cambria-Bold
98                   | 262.87     | 307.73     | XELMPT+Cambria-Bold
—                    | 278.32     | 307.73     | XELMPT+Cambria-Bold
Roundness            | 291.74     | 307.73     | XELMPT+Cambria-Bold
indication           | 350.32     | 307.73     | XELMPT+Cambria-Bold
The                  | 70.87      | 362.06     | MDDDRP+Cambria
tolerance            | 91.65      | 362.06     | MDDDRP+Cambria
zone                 | 138.71     | 362.06     | MDDDRP+Cambria
defined              | 163.58     | 362.06     | MDDDRP+Cambria
by                   | 202.15     | 362.06     | MDDDRP+Cambria
the                  | 216.30     | 362.06     | MDDDRP+Cambria
specification        | 234.33     | 362.06     | MDDDRP+Cambria
in                   | 297.85     | 362.06     | MDDDRP+Cambria
Figure               | 309.79     | 362.06     | XELMPT+Cambria
98,                  | 343.57     | 362.06     | XELMPT+Cambria
in                   | 360.70     | 362.06     | XELMPT+Cambria
the                  | 372.65     | 362.06     | XELMPT+Cambria
considered           | 390.68     | 362.06     | XELMPT+Cambria
cross-section,       | 445.63     | 362.06     | XELMPT+Cambria
is                   | 513.74     | 362.06     | XELMPT+Cambria
limited              | 524.29     | 362.06     | XELMPT+Cambria
by                   | 70.87      | 374.16     | MDDDRP+Cambria
two                  | 84.82      | 374.16     | MDDDRP+Cambria
concentric           | 105.71     | 374.16     | MDDDRP+Cambria
circles              | 157.90     | 374.16     | MDDDRP+Cambria
with                 | 191.27     | 374.16     | MDDDRP+Cambria
a                    | 215.76     | 374.16     | MDDDRP+Cambria
difference           | 223.55     | 374.16     | MDDDRP+Cambria
in                   | 274.15     | 374.16     | MDDDRP+Cambria
radii                | 285.90     | 374.16     | MDDDRP+Cambria
of                   | 310.89     | 374.16     | MDDDRP+Cambria
t                    | 322.39     | 350.13     | HBOUZZ+Cambria-Italic
,                    | 326.47     | 374.16     | XELMPT+Cambria
see                  | 331.15     | 374.16     | XELMPT+Cambria
