Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
Foreword             | 70.87      | 118.91     | HBOUZZ+Cambria-Bold
.................... | 120.70     | 115.76     | XELMPT+Cambria
vi                   | 549.13     | 118.91     | HBOUZZ+Cambria-Bold
Introduction         | 70.87      | 136.68     | XELMPT+Cambria-Bold
.................... | 135.47     | 133.53     | XELMPT+Cambria
vii                  | 545.67     | 136.68     | HBOUZZ+Cambria-Bold
1                    | 70.87      | 154.45     | HBOUZZ+Cambria-Bold
Scope                | 104.88     | 154.45     | HBOUZZ+Cambria-Bold
.................... | 135.46     | 151.29     | XELMPT+Cambria
1                    | 551.91     | 154.45     | HBOUZZ+Cambria-Bold
2                    | 70.87      | 172.22     | XELMPT+Cambria-Bold
Normative            | 104.88     | 172.22     | XELMPT+Cambria-Bold
references           | 160.34     | 172.22     | XELMPT+Cambria-Bold
.................... | 214.83     | 169.06     | XELMPT+Cambria
1                    | 551.91     | 172.22     | HBOUZZ+Cambria-Bold
3                    | 70.87      | 189.99     | XELMPT+Cambria-Bold
Terms                | 104.88     | 189.99     | XELMPT+Cambria-Bold
and                  | 139.11     | 189.99     | XELMPT+Cambria-Bold
definitions          | 160.63     | 189.99     | XELMPT+Cambria-Bold
.................... | 216.68     | 186.83     | XELMPT+Cambria
2                    | 551.91     | 189.99     | HBOUZZ+Cambria-Bold
4                    | 70.87      | 207.75     | XELMPT+Cambria-Bold
Basic                | 104.88     | 207.75     | XELMPT+Cambria-Bold
concepts             | 134.01     | 207.75     | XELMPT+Cambria-Bold
.................... | 179.76     | 204.60     | XELMPT+Cambria
4                    | 551.91     | 207.75     | HBOUZZ+Cambria-Bold
5                    | 70.87      | 225.52     | HBOUZZ+Cambria-Bold
Symbols              | 104.88     | 225.52     | HBOUZZ+Cambria-Bold
.................... | 148.39     | 222.37     | XELMPT+Cambria
6                    | 551.91     | 225.52     | HBOUZZ+Cambria-Bold
6                    | 70.87      | 243.29     | XELMPT+Cambria-Bold
Toleranced           | 104.88     | 243.29     | XELMPT+Cambria-Bold
features             | 163.76     | 243.29     | XELMPT+Cambria-Bold
.................... | 205.60     | 240.14     | XELMPT+Cambria
9                    | 551.91     | 243.29     | HBOUZZ+Cambria-Bold
7                    | 70.87      | 261.06     | XELMPT+Cambria-Bold
Tolerance            | 104.88     | 261.06     | XELMPT+Cambria-Bold
zones                | 157.19     | 261.06     | XELMPT+Cambria-Bold
.................... | 187.14     | 257.91     | XELMPT+Cambria
12                   | 545.39     | 261.06     | HBOUZZ+Cambria-Bold
7.1                  | 104.88     | 272.94     | XELMPT+Cambria
Tolerance            | 138.89     | 272.94     | XELMPT+Cambria
zone                 | 187.22     | 272.94     | XELMPT+Cambria
defaults             | 211.99     | 272.94     | XELMPT+Cambria
.................... | 249.90     | 270.01     | XELMPT+Cambria
7.2                  | 104.88     | 285.04     | XELMPT+Cambria
Tolerance            | 138.89     | 285.04     | XELMPT+Cambria
zones                | 187.22     | 285.04     | XELMPT+Cambria
of                   | 216.72     | 285.04     | XELMPT+Cambria
variable             | 228.32     | 285.04     | XELMPT+Cambria
width                | 268.75     | 285.04     | XELMPT+Cambria
.................... | 297.88     | 282.11     | XELMPT+Cambria
7.3                  | 104.88     | 297.14     | XELMPT+Cambria
Orientation          | 138.89     | 297.14     | XELMPT+Cambria
of                   | 195.46     | 297.14     | XELMPT+Cambria
tolerance            | 207.05     | 297.14     | XELMPT+Cambria
zones                | 253.38     | 297.14     | XELMPT+Cambria
for                  | 282.88     | 297.14     | XELMPT+Cambria
derived              | 298.88     | 297.14     | XELMPT+Cambria
features             | 336.95     | 297.14     | XELMPT+Cambria
.................... | 375.40     | 294.21     | XELMPT+Cambria
7.4                  | 104.88     | 309.24     | MDDDRP+Cambria
Cylindrical          | 138.89     | 309.24     | MDDDRP+Cambria
and                  | 191.84     | 309.24     | MDDDRP+Cambria
spherical            | 211.87     | 309.24     | MDDDRP+Cambria
tolerance            | 257.39     | 309.24     | MDDDRP+Cambria
zones                | 303.72     | 309.24     | MDDDRP+Cambria
.................... | 331.11     | 306.31     | XELMPT+Cambria
8                    | 70.87      | 327.23     | XELMPT+Cambria-Bold
Geometrical          | 104.88     | 327.23     | XELMPT+Cambria-Bold
specification        | 169.11     | 327.23     | XELMPT+Cambria-Bold
indication           | 236.05     | 327.23     | XELMPT+Cambria-Bold
.................... | 288.66     | 324.08     | XELMPT+Cambria
14                   | 545.39     | 327.23     | HBOUZZ+Cambria-Bold
8.1                  | 104.88     | 339.11     | XELMPT+Cambria
General              | 138.89     | 339.11     | XELMPT+Cambria
.................... | 176.07     | 336.18     | XELMPT+Cambria
8.2                  | 104.88     | 351.21     | XELMPT+Cambria
Tolerance            | 138.89     | 351.21     | XELMPT+Cambria
indicator            | 187.22     | 351.21     | XELMPT+Cambria
.................... | 231.44     | 348.28     | XELMPT+Cambria
8.2.1                | 138.90     | 363.31     | MDDDRP+Cambria
Symbol               | 178.59     | 363.31     | MDDDRP+Cambria
section              | 215.78     | 363.31     | MDDDRP+Cambria
.................... | 249.90     | 360.38     | XELMPT+Cambria
8.2.2                | 138.90     | 375.41     | XELMPT+Cambria
Zone,                | 178.59     | 375.41     | XELMPT+Cambria
feature              | 206.52     | 375.41     | XELMPT+Cambria
and                  | 242.43     | 375.41     | XELMPT+Cambria
characteristic       | 262.46     | 375.41     | XELMPT+Cambria
section              | 328.71     | 375.41     | XELMPT+Cambria
.................... | 362.48     | 372.48     | XELMPT+Cambria
8.2.3                | 138.90     | 387.51     | XELMPT+Cambria
Datum                | 178.59     | 387.51     | XELMPT+Cambria
section............. | 212.60     | 384.58     | XELMPT+Cambria
8.3                  | 104.88     | 399.61     | XELMPT+Cambria
Plane                | 138.89     | 399.61     | XELMPT+Cambria
and                  | 167.42     | 399.61     | XELMPT+Cambria
feature              | 187.45     | 399.61     | XELMPT+Cambria
indicators           | 223.37     | 399.61     | XELMPT+Cambria
.................... | 272.05     | 396.68     | XELMPT+Cambria
8.4                  | 104.88     | 411.71     | XELMPT+Cambria
Indications          | 138.89     | 411.71     | XELMPT+Cambria
adjacent             | 193.88     | 411.71     | XELMPT+Cambria
to                   | 236.14     | 411.71     | XELMPT+Cambria
the                  | 248.04     | 411.71     | XELMPT+Cambria
tolerance            | 265.62     | 411.71     | XELMPT+Cambria
indicator            | 311.94     | 411.71     | XELMPT+Cambria
.................... | 355.10     | 408.78     | XELMPT+Cambria
8.4.1                | 138.90     | 423.81     | XELMPT+Cambria
General............. | 178.59     | 420.88     | XELMPT+Cambria
8.4.2                | 138.90     | 435.91     | MDDDRP+Cambria
Toleranced           | 178.59     | 435.91     | MDDDRP+Cambria
feature              | 233.02     | 435.91     | MDDDRP+Cambria
identifiers          | 268.92     | 435.91     | MDDDRP+Cambria
.................... | 318.19     | 432.98     | XELMPT+Cambria
8.4.3                | 138.90     | 448.01     | XELMPT+Cambria
Patterns             | 178.59     | 448.01     | XELMPT+Cambria
.................... | 218.52     | 445.08     | XELMPT+Cambria
8.4.4                | 138.90     | 460.11     | XELMPT+Cambria
Adjacent             | 178.59     | 460.11     | XELMPT+Cambria
indication           | 222.25     | 460.11     | XELMPT+Cambria
sequence             | 272.00     | 460.11     | XELMPT+Cambria
.................... | 316.35     | 457.18     | XELMPT+Cambria
8.5                  | 104.88     | 472.21     | XELMPT+Cambria
Stacked              | 138.89     | 472.21     | XELMPT+Cambria
tolerance            | 177.77     | 472.21     | XELMPT+Cambria
indications          | 224.09     | 472.21     | XELMPT+Cambria
.................... | 277.58     | 469.28     | XELMPT+Cambria
8.6                  | 104.88     | 484.31     | XELMPT+Cambria
Indication           | 138.89     | 484.31     | XELMPT+Cambria
of                   | 189.15     | 484.31     | XELMPT+Cambria
drawing              | 200.75     | 484.31     | XELMPT+Cambria
defaults             | 242.00     | 484.31     | XELMPT+Cambria
.................... | 281.28     | 481.38     | XELMPT+Cambria
9                    | 70.87      | 502.30     | XELMPT+Cambria-Bold
Supplementary        | 104.88     | 502.30     | XELMPT+Cambria-Bold
indications          | 184.96     | 502.30     | XELMPT+Cambria-Bold
.................... | 242.52     | 499.15     | XELMPT+Cambria
39                   | 545.39     | 502.30     | HBOUZZ+Cambria-Bold
9.1                  | 104.88     | 514.18     | XELMPT+Cambria
Indications          | 138.89     | 514.18     | XELMPT+Cambria
of                   | 193.88     | 514.18     | XELMPT+Cambria
a                    | 205.48     | 514.18     | XELMPT+Cambria
compound             | 213.26     | 514.18     | XELMPT+Cambria
or                   | 265.80     | 514.18     | XELMPT+Cambria
restricted           | 278.62     | 514.18     | XELMPT+Cambria
toleranced           | 326.79     | 514.18     | XELMPT+Cambria
feature              | 379.21     | 514.18     | XELMPT+Cambria
.................... | 414.17     | 511.25     | XELMPT+Cambria
9.1.1                | 138.90     | 526.28     | XELMPT+Cambria
General............. | 178.59     | 523.35     | XELMPT+Cambria
